AirlineName,CabinType,OverallScore,Recommended,Review,sentence_count_period,proxy_label,vader_original_full,vader_original_sentence_avg,vader_adjusted_full,vader_adjusted_sentence_avg
American Airlines,Economy Class,2.0,no,"When we booked our flights several months ago there was not a direct flight from Charlotte to Albany so we booked via Chicago, recognizing how circuitous and inconvenient it would be. When we arrived at the Charlotte airport for our flight home to Albany we noticed that there was a direct flight to Albany and were told that there were many seats available. We asked if we could be out I that flight but at every turn were told that it was against company policy and that such a change would cost $200 each. We realize what ""the policy"" is but were hoping in a rationale, customer focused world we could get on a flight with vacancies that was going directly to Albany rather than having to fly halfway across the country only to return to the east coast. Of course the rationale is that the direct flight ""might"" have cost less than the flight we booked. When I asked for a comparison of the costs of the 2 flights at the time we booked it the airline said there was no way they could tell. Even though many airlines look for every conceivable angle to make money off their customers it's a shame that American assumes the same pecuniary motives from their customers. And so a flight to Albany with plenty of empty seats will leave soon. We won't be on it. But we will be on the flight leaving at a nearby gate to Chicago and once there we will hop a flight to Albany. Bureaucratic policies which focus solely on the bottom line rather than on the customer ultimately will damage the bottom line. Next time we will go through great lengths to fly Southwest where the customer and their free baggage are still held in esteem.",12,negative,0.5789,-0.020633333333333337,0.5789,-0.020633333333333337
Icelandair,Economy Class,1.0,no,"Extra late takeoff. Rude staff. Seats were reserved in January. We got emails this morning confirming our seats with checkin. When we arrived and got our boarding passes, my wife and I had completely different seats in 2 different rows no longer next to each other. When trying to get it corrected, which took about 25 minutes and 3 people before anyone would even help, we were told that our seats were now taken by other people, and they can't do anything to help. There was only one seat remaining in row 30 when we reserved row 12. Cannot reccomend.",8,negative,0.0516,-0.011887500000000002,0.296,0.014212499999999996
Virgin Atlantic,Economy Class,2.0,no,Such a disappointment! Having flown with Virgin a few times we were looking forward to our flights from Edinburgh through Heathrow to Miami. Unfortunately Little Red flight delayed so we had to transfer to BA to get to Heathrow in time. Plane from Heathrow was cramped and uncomfortable seating - economy seats I know but had always been more comfortable and spacious in the past! 1 bar service in a 9h+ flight. Small spirit measure and 1 glass of wine with meal. Realise not a good idea to have much alcohol on long haul flights but feel there should have been 2-3 bar services throughout the entire flight. Water or juice only offered. Poor quality meal cheap ice lolly and pretty tasteless 2 finger sandwiches before landing. What's happened to this airline? Plane half empty. Staff more interested in having a social gathering amongst themselves at the back of the plane. Dirty smelly toilets - even just after boarding! Only positive points were we arrived on time with all baggage and to be fair experienced a good flight with Little Red on our return from Heathrow to Edinburgh - much more pleasant staff and the offer of a miniature spirit small bottle of wine - double the quantity we were offered on the long haul flights both out and return to Miami! Agree with other reviewers that we won't use Virgin again.,10,negative,0.9745,0.08392999999999998,0.9789,0.09425999999999998
Emirates,Economy Class,4.0,no,Doha to Dubai EK848 and Dubai to Zurich EK087. Both flights were 25 March 2015. Emirates was a great airline but lately its service levels are declining. We took a trip from Doha to Zurich with connection in Doha. On first leg we asked for blankets but no attention was given until flight landed and on reminding air hostess were told that no blankets were available on flight. On second leg the food was quite poor and head phones were collected 30 minutes before landing. Certainly service levels have declined significantly compared to 2 years ago.,7,negative,-0.6746,-0.07068571428571428,-0.6746,-0.07068571428571428
American Airlines,Economy Class,1.0,no,"I expect covid restrictions, but this airline made me wear their paper mask that felt like it was pulling my ears forward the whole flight, because my mask was ""unacceptable."" In Dallas I raced from one terminal to the next with no time to get food, only to sit on the plane for almost 2 hours before take off due to maintenance issues. I have flown many many times but have no confidence in this airline. I recommend you fly with someone else.",4,negative,-0.5931,-0.168825,-0.3298,-0.073775
American Airlines,Economy Class,1.0,no,"✅ , | Baltimore to St Thomas via Charlotte with American Airlines. We had never taken any flights with AA before so we didn't know what to expect. Our flight was scheduled to leave BWI at 8:45am. We arrived at the airport at 6:45am. We boarded our plane at about 8:30 am, we then sat for 2 hours before we were told that we had missed our connecting flight from CLT to St Thomas and there were no more flights leaving and we would have to stay the night. Now this was a problem because we had a nonrefundable reservation at our hotel so we were going to lose a day of our vacation. Eventually, after calling customer service from the plane. We were booked on another flight leaving from Washington DC to Miami. So we get off the plane and take a $100 cab ride for a flight scheduled to leave Dulles at 12:45pm. We get there at about 12:15pm, go through security again, and make it the plane, only to sit on this plane for another 2 hours. Finally we leave and fly to Miami for a flight scheduled to leave a 5:55pm. We're sitting in the airport for 45 minutes and 10 minutes before the flight time they tell us to go to another gate which is in a total different wing of the terminal. So we run to the gate only to find out our 5:55pm flight is delayed. An hour later we board only to sit on yet another plane for almost 2 hours. We made it to St Thomas at 10:30pm. We were originally scheduled to arrive there at 3:30pm. So here we are 16 hours later, and have missed a half a day of our vacation, and AA thinks that was ok. The only thing they could say was oh well, you took the flight, you got there. Our return from St Thomas back home was about the same. Sitting in airports at the wrong gates and delayed flights. In my over 20 years of traveling I have never seen anything like that. This was by far the worst travel experience I've had.",22,negative,-0.9607,-0.11446363636363638,-0.9618,-0.1161090909090909
Thomas Cook Airlines,Economy Class,1.0,no,I purchased a full package holiday to Egypt for December 2017 (Birmingham to Hurghada) and was offered at a cost for Thomas cook to obtain our visas. I agreed as I had no time to check and sort them. I received a document 4 weeks before saying I had a pre-paid visa. I arrived at the airport excited to travel was allowed to check my bags and spend nearly 3 hours in the airport only to be to at boarding that I was being refused travel due to not have 6 months left on my passport. I showed my visa confirmation issued by their company but was still turned away. They are now taking no responsibility for anything and I am down £1300.,6,negative,-0.2263,0.021949999999999997,-0.2263,0.021949999999999997
Air Serbia,Economy Class,1.0,no,"Milan to Belgrade. I would suggest to anyone to avoid Etihad in general and especially Air Serbia. Often Etihad sells tickets under its name and afterwards flight is operated by Air Serbia (all flights via belgrade) and that is the biggest nightmare you can have. Terrible service in general, flights aways delayed for at least 45-60 min. Often longer delays. My last experience - engine got on fire while the airplane was leaving the gate, and following this we had 10 hours delay (2 hours in the plane, 2 hanging around begging for info, 2 further reschedulings of the departure). Air Serbia is keeping the monopoly of Belgrade airport and I need to use it unfortunately, but if you can avoid it, do it!",7,negative,-0.8497,-0.29501428571428573,-0.829,-0.2730714285714285
Turkish Airlines,Economy Class,1.0,no,"I was flying from BOM to CUN using my (unused) Schengen Visa. Mexico immigration clearly says that a person having a valid Schengen Visa does not require a Mexico Visa to for short-term travel to Mexico. Following the rules, the Turkish Airlines staff boarded me and issued boarding passes from BOM to IST and IST to CUN. I reached IST and when I reached the boarding gate of my Mexico flight, I was denied boarding by the Turkish Airlines staff citing that the Schengen Visa must be used before to travel to a Schengen country before flying to Mexico. This self made logic of theirs is ridiculous because firstly - 1) Mexico govt simply mentions that any type of multi entry Schengen Visa is accepted. 2) A Visa is not an obligation to travel, if I got a Schengen Visa that does not bound me to travel to Europe. 3) Also, I know a couple of my friends who also flew to Mexico on their unused Schengen Visa with other Airlines and they were allowed entry to Mexico without any hassles at the Mexico airport immigration. After I was denied boarding at Istanbul (IST) airport gate, I was made to run behind counter after counter but no one in the Turkish Airlines staff actually knew how to handle this situation and they demonstrated an utmost level of hostility and lack of empathy. Because of all this, my entire trip got ruined. Now I have been waiting for a week for at least a full refund if not compensation for the mental agony they caused me but they are not responding and acting as if nothing happened.",10,negative,-0.9593,-0.11094,-0.9593,-0.11094
Vueling Airlines,Economy Class,1.0,no,Porto to Barcelona. My husband is not especially tall average height of around 170 cm. His knees touched the seat in front. How lucky he isn't taller! This travel experience would make us rank Vueling at the bottom of the list. When we arrived at Barcelona the pilot advised we would be disembarking from both the front and rear of the plane. This idea was most appreciated but very short lived. It took at least 15 minutes if not longer for the steps to arrive but pleasingly one bus arrived before the steps.  If we could have floated down from the plane to the ground and into the bus I am sure most of the passengers would have been delighted. A disappointing experience all round.,9,negative,0.7642,0.10884444444444445,0.8551,0.13594444444444445
Ryanair,Economy Class,1.0,no,"Rome to Athens. One of worst check in experience, reasons- understaffed team, hundreds of passenger in queue handled by 3. If you have not done check in online, you have to pay 55 euro per person, pay  for light cabin backpack. staffs with blunt expression. One line is avoid the chances of being ripped on the name of low fare because one will end up paying a lot.",5,negative,-0.8126,-0.23768000000000003,-0.8555,-0.25808
Iberia Express,Economy Class,1.0,no,"My flight was originally on Delta from Salt Lake City to Madrid for both business and pleasure. Due to Delta leaving 3.5 hours late I missed my connection in Paris and as all the Delta Partner flights were booked going down to Madrid that evening they put me on an Iberia flight. This gave me a 4 hour layover or so in Paris so you would think my luggage would have arrived. It didn't. I figured it would show up a day or so later because how do you lose luggage for longer than that and I made the mistake of only making only one pair of underclothes and two shirts in my backpack. As the days progressed with no luggage I was told by Iberia to hold onto my receipts for reimbursement as I had to by clothes I could wear for my conference, makeup and some clothes for the vacation portion of my trip. I didn't go wild. Finally, on the 9th day of no luggage they contacted me to say it was found and now in Madrid. That didn't help as I was in Barcelona. I instructed them to send it to my home in Utah to which they told me they would send me the shipping information. They never did. Three days later there was a knock at my door at 4:50 a.m. that freaked me out because I wasn't expecting anyone. It ended up being my luggage. Luckily, it was all there. Unfortunately, the story doesn't end there. When the Iberia representative told me to hang onto my receipts he gave me an email address to send all my documentation. I did so knowing that reimbursement could take up to 30 days. After 3 weeks of radio silence from Iberia I contacted them to check the status and they said they never received my paperwork! They gave me a new email address and I resubmitted again. This time I saw emails from them saying they were processing and I could expect a check in approximately 30 days. Fast forward to this week. At day 36 I called them and was told that they couldn't help me. That I would need to lodge a complaint through their website. I immediately did and received an email that said it could take up to 21 days to respond. When I got home that day there was a check in the mail for less than half of the amount submitted. I've since contacted them without response. The customer service of this airline is unbelievably horrible! As Iberia was the airline I last flew with when the luggage went missing, according to airline regulations they are responsible for whatever happens to it.",29,negative,-0.9459,-0.08933448275862069,-0.9459,-0.08933448275862069
United Airlines,Economy Class,3.0,no,"Really ticked off by agent's rudeness. I was booked roundtrip Newark to Houston on a last-minute Basic Economy ticket. First flight was just fine on American, which allows one carry on in the overhead bin (bag maximum dimensions are clearly spelled out on AA's website) and one beneath the seat. Great, as I only had two small bags. Not so great on my return flight home on United. On checking in at UA's Houston/IAH kiosk I realized the airline's impossibly stingy policy that allows only one small bag under the seat - and nothing overhead. Okay, my fault for assuming United's policy was the same as American's. What really burned me though was the downright surly response from UA's customer service agent when I questioned why I had to pay a $30 bag check fee. He was really aggressive - glaring as he shouted ""my problem was that I was cheap!"" I was insulted, but paid the fee nonetheless. But I'm done with United. We've flown many miles together - too bad United's skies are no longer friendly. From now on I'm happy to stick with better carriers American and Delta.",12,negative,-0.6345,-0.04409166666666669,-0.4305,-0.03948333333333336
Air Canada rouge,Premium Economy,1.0,no,"I flew Air Canada Rouge (booked by our Travel Agent, we saw Air Canada and thought 'great' we didn’t realise that they were their budget fleet) for three flights in September 2019 from Manchester to Toronto and Calgary and then Vancouver back to Manchester. I was with my husband and his parents. All three flights were delayed leaving: First Flight: two and a quarter hours delay taking off because of a fuel light fault (this should have been sorted before we boarded and sat there all that time - preventable) Second Flight: an hour late leaving owing to a staff shortage for that flight (this should have been sorted out before we boarded - preventable) Third Flight: 15 minutes late leaving because of a late boarding passenger (not really Rouges fault). On our first flight, the delay in leaving almost caused us to miss our connection in Toronto. We managed to make it to our connecting plane Boarding Passes in hand, only to be told we had been removed (our seats undoubtedly re-sold). After much dithering, the staff managed to re assign us. However, our luggage didn’t make the flight as Rouge had decided to put it on a later flight (ours and lots of other peoples) but didn’t think to tell us, so we waited ages at the carousel the other end unnecessarily. Eventually and after much anxiety on our part it all arrived at our hotel in the middle of the night. My husband and I were in Premium Economy. The seats were extremely hard and uncomfortable. Seatbelts were short with not much room to slacken. The legroom was fine, but you couldn’t stretch out as there was a large mounting bracket beneath the seat in front. The overhead bins were minuscule. The iPads we were given to entertain us on the return flight wouldn’t connect properly, saying there was an error. We couldn’t be bothered to report it as we were so tired. It looked like everyone else’s was the same. The food was just ok and nothing special. Air stewards on all flights were friendly enough, but did seem disinterested. My in-laws were in Economy and experienced all of the above, except smaller seats and no in-flight entertainment. Unfortunately, their seats weren’t clean either, attached is a picture of the gap in my mother-in-laws footwell, it was absolutely filthy and there appeared to be months of old litter and food debris. Unfortunately, as a whole Air Canada Rouge was pretty poor and it’s highly unlikely that we will ever use them again, or recommend them to anyone.",21,negative,-0.9042,-0.0649047619047619,-0.9527,-0.09031428571428572
British Airways,Business Class,3.0,no,"✅ , |  Oslo to London Heathrow. Check in was chaotic, and ground staff had no idea about check in, no information about lounge access, transfer etc. I'm emerald frequent flyer with British Airways. Seat is usual economy seat, it's a joke they sell this product as business class. No entertainment and a disgraceful meal on business class. Service was very fast. Overall experience in this flight was no any better than economy class - it's a complete joke they call this product ""business class"" - you just waste your money.",7,negative,-0.8987,-0.20455714285714288,-0.8987,-0.20455714285714288
Etihad Airways,Economy Class,1.0,no,"New Delhi to Bahrain via Abu Dhabi. This is the worst experience of my life.  Flight gets delayed in New Delhi and as a result I have to miss my connecting flight. The staff is so rude in Abu Dhabi. Rather than trying to help or provide solutions they would rather behave irritated. Now they have given me a flight the next day. I am a girl traveling alone, staying in the airport overnight is inappropriate. They should consider these facts but instead they prefer being adamant and non negotiable. Also be careful while booking your flight. They book in the name of Etihad Airlines and send customers in Jet Airways. Even if it is codesharing it needs to be mentioned. We are not fools here. We have paid our money and therefore expect service. Rather than the rude behavior of the staff. The staff is not doing us a favor in fact it is the other way around. I am despising this experience.",16,negative,-0.8015,-0.11353125,-0.4795,-0.08865624999999999
Lufthansa,Economy Class,2.0,no,On a direct flight Munich to Los Angeles I found myself in row 39 (economy class) of an aircraft with a downstairs bathroom area. The bathroom configuration is a great innovation but next to my seat loomed the very imposing cover for the stairway to the bathroom. Mine was the inside seat of only two in that row because of the stairway. My elbow bumped into the stairway wall and my vision was totally blocked on that side. Claustrophobic alley! A kind attendant was able to reseat me. Meals? The plane departed at noon and lunch was served at 1 pm. Lufthansa has been touted for its meals and I was looking forward to this part. The meal itself was good from my experience with airplane food. A few hours later an attendant passed out Toblerone chocolate bars. Several hours after that more chocolate bars. Mind you this was a direct flight. It landed 12 hours after it departed. The passengers had last eaten a meal 11 hours earlier! I think most people would need at least a sandwich or light meal in that 11-hour period. There were no meals for purchase on board no help in sight. I think Lufthansa definitely needs to look carefully at their meal policy for such extended flights. If I ever travel on this airline again I'm bringing my own food!,16,negative,0.8276,0.04558125,0.6818,0.0296875
United Airlines,Economy Class,3.0,no,Rochester New York to Washington. I was on a small plane (2 seats per side) and I being a large man was also sitting next to a large man (probably the two biggest guys on the plane). There were 3 of 4 exit row seats open. They wouldn’t let us move because they the flight attendant said we couldn’t because we didn’t pay for them. They were already paid for but they didn’t show up for the flight. So she decided to make it an uncomfortable flight for us and then leave the exit row seats open which is a hazard.,6,negative,-0.5719,-0.08736666666666666,-0.4215,-0.06645
Allegiant Air,Economy Class,1.0,no,"Given our current covid-19 pandemic I called the airline in order to get a refund instead of a credit due to the fact that my family is high risk and we will not be taking a flight anymore. Once this pandemic cleared up we would plan to drive instead and have no need for the airline ticket. When I called the lady I spoke to was not only incredibly rude even though I was very polite and professional, she also threatened me after issuing the refund by saying that they have documented in my account that they will never waive any type of fees for us. Talk about incredibly rude and a horrible business to support. They need to be more understanding and respectful of the fact that we are in a pandemic. I will never support this business again!",6,negative,-0.6101,-0.10721666666666667,0.5735,0.04991666666666667
Aer Lingus,Economy Class,3.0,no,London Gatwick to Dublin on 15/11/2013 AE 249 - 9pm flight. Friday flight - delayed yet again due to Aer Lingus passengers taking their time to get on and off the plane. People again had too much hand luggage and the ground staff were forced to place some in the hold. Late take off due to passengers being selfish and hogging the overhead bins and generally being thoroughly stupid with regards to the basics such as sitting down quickly and being able to count from 1 to 29. The crew found it frustrating and its credit to them they kept calm during a very unnecessary delay. I'm finding this behaviour very annoying and am going back to Ryanair who at least make the effort to be on time and their passengers don't push and shove like Aer Lingus passengers.,6,negative,-0.8613,-0.2044166666666667,-0.7943,-0.14
Azerbaijan Airlines,,3.0,no,My worst flying experience in 11 years of former Soviet Union travel. On January 13 2008 the airport in Baku was closed because the airport is not equipped with any modern snow cleaning equipment. Personnel checking us in in Tblissi in Georgia without telling us anything with a delay of 7 hours in order to not let us return the tickets and book an alternative route through Kiev. No food no drinks no apologizing. Arriving in Baku after midnight no information whatsoever a crowded airport without any modern facilities. No airport representative ever turned up. No food no drinks no apologizing. Finally with a delay of another 17 hours check-in at the departure lounge we were forced to wait for 2 hours without being allowed to go out and use the toilet. Aggressive unfriendly personnel at the airport. The aircraft was covered with snow no cleaning equipment was at hand to clean away the snow from the top of the aircraft. Other passengers told us they already had similar experiences when flying from Moscow through Baku. Stay away from Azerbaijan airlines if you can.,12,negative,-0.878,-0.13219166666666668,-0.901,-0.13621666666666665
Emirates,Economy Class,1.0,no,"Expecting a great deal based on other reviews we decided to pay more to fly with Emirates from Dubai to London Heathrow. Unhelpful Emirates Staff at Heathrow - could barely muster a smile. Completely oversold their family friendly service. It was a guessing game as to what we had to do with the stroller for our 7 month old. Although the kids meals were given as they had been pre-ordered I don't think they were particularly great quality. In terms of the cabin crew - rude, unfriendly and I could go on. We were issued the wrong menu - no apology. I asked for a glass of water for my little girl and it was as if I'd asked for gold. The serving of the food and drinks was very disjointed - no system, no organisation. I wasn't offered food twice as they bypassed me. My partner was missed out on a few occasions too. No apology. They didn't bother with the kids, I went to change the baby and when I was returning to my seat I had to wait in the aisle for 5 mins for them to move out of the way. They are clearly more important than you. The toilets were not maintained. I have always flown with Virgin in the past and will continue to do so in the future.",16,negative,0.7264,0.054806249999999994,0.659,0.037593749999999995
United Airlines,Economy Class,1.0,no,"Seattle to San Diego. Hidden charges for checking a carry-on bag. If you take a carry-on bag to the gate, as you do with any other airlines, they will charge you $30 + a $25 fine for doing so. That's an extra $55 just for boarding a plane like normal with one carry-on. You are forced to pay the $30 fee for each carry-on bag while checking in online, or else you are blocked from checking in and must do so at the airport. None of this is advertised before you buy the ticket. That is just the most egregious of the problems United puts on its customers. Every other aspect of the airline's service makes it the absolute worst of the major airlines. They only exist because of government bailouts, they were about to fail (for good reason) before all that. Their food service is pathetic and obscenely overpriced, the airplanes are a mess, the flight attendants are rude and the gate agents belligerent.",10,negative,-0.9524,-0.19805,-0.9524,-0.19805
easyJet,Economy Class,1.0,no,"Palma to Liverpool. I had arrived at Palma airport for my return flight, checked in, passed  passport control and was was ready 2 hours before at the gate with my boarding passes. I was in the queu to board the flight when my 8 year old daughter said she felt slightly sick, the queue was still long so I said to the lady on the gate I was taking her the toilet - I was 10 minutes. On my return I  walked up to board and the lady said the gates closed!‬ ‪My flight weren’t due to leave for a further 20 minutes! I didn’t understand. But the lady was so abrupt and said your not getting on. I pleaded in  desperation but there was absolutely no empathy whatsoever toward me, they just carried on chatting.  I literally had £150 in my bank and knew I was in trouble, I tried not to let my children see how petrified their mother was but they could they were besides themselves. I went down to the main @asyJet desk and spoke to a staff member who said you’ve missed your flight what do you want us to do about it. I was standing distraught as where my children and she asked me to move as there was a man behind wanting to be served. She closed the shutter down and went onto the next desk! I then asked can I speak to a manager so someone came from the back and said we’ve got no flights for you. They said we are not flying you home for £150.  I was messaging family asking could they help but flights where coming back at £300 each at 11pm that night. I managed to eventually book flights with jet2 who gave us blankets pillows and took our cases and baggage in their office so we could rest. They boarded us first on the plane and really lifted mine and my children’s spirits with their kindness after realising what had happened with easyjet earlier.",14,negative,-0.9651,-0.1346857142857143,-0.9651,-0.1346857142857143
Iberia,Economy Class,1.0,no,"Madrid to LHR. This flight did not begin well with very poor service at the gate in Barajas. It was completely disorganised and reminiscent of a low cost airline ""scrum"". This was possibly due to the fact that Iberia staff seemed more interested in checking the size of hand baggage rather than boarding passengers. Once onboard seats were uncomfortable food was over priced and cabin crew disinterested. I will go with BA next time.",6,negative,-0.4047,-0.09303333333333334,-0.0036,-0.04441666666666666
Delta Air Lines,Economy Class,2.0,no,"I have been on many airplanes over the past ten years and this was by far the worst experience. Me and my roommate inaccurately received texts that our plane was delayed 2 hours. Therefore we missed our 5:30pm flight and instead of arriving home that night at 11pm as scheduled we were forced to sleep in the airport overnight. We did not return home until the following day at 11am. Delta customer service was terrible and did nothing to compensate us for our crisis. Do not fly with Delta, they are only good for wasting your time and money.",6,negative,-0.9531,-0.37308333333333327,-0.9538,-0.37703333333333333
Air France,Economy Class,1.0,no,"We just had a return flight scheduled via Air France on August 1st. We arrived 2.5 hours early to Charles de Gaulle but the bag drop-off took 1 hour then we were stopped for having carry-on bags too large at security and had to return to check the carry-ons, after this, we had 50 minutes until departure but security machine broke and caused abnormal security delays of an hour. We missed the flight. It then took 2 hours of waiting at Air France ticketing to learn the next flight would be 6 days away (with us having NO luggage). We opt for another flight on a different airline and airport but now to get our bags ... another 5 hours of waiting to get our 2 carry-on bags. We are told to return in the morning to pick up our other 2 large checked bags that had been pulled from the plane. We come back to CDG, wait 1.5 hours in a 5 person line to find out that those bags cannot be accessed, and they have to send them across the ocean and deliver to our home address. Unbelievable service from Air France. No apologies from anyone or care for the extraordinary mess of lines! One bag has been found but the other is untraceable.",12,negative,-0.5092,-0.014716666666666668,-0.2942,-0.002166666666666666
