AirlineName,CabinType,DateFlown,DatePub,EntertainmentRating,FoodRating,GroundServiceRating,OriginCountry,OverallScore,Recommended,Review,Route,SeatComfortRating,ServiceRating,Title,TravelType,TripVerified,ValueRating,WifiRating,unique_id,review_cleaned,review_lower,tokens,token_count,sentence_count_period,proxy_label,vader_original_full,vader_original_sentence_avg,vader_adjusted_full,vader_adjusted_sentence_avg
Qatar Airways,Economy Class,November 2015,11th November 2015,4,3,5,Denmark,9.0,yes,"Hanoi to Nairobi via Bangkok and Doha. Excellent service at check-in in Noi Bai International Airport. NIA Business Lounge in T2 is very good and spacious. Onboard proactive FAs provide a good mood and proper care. The product has changed slightly in recent months in economy class with smaller food portions though 3 options are offered on menu card. Champagne is not served in economy class but an amenity kit is still provided. Excellent language skills among the crew. All flights on time. Reliability and precision of the airline high. FAs are professional, fresh, and often in a sparkling mood. I never had experienced a significant delay with Qatar Airways, but am annoyed by eternal bus-transfers in Doha. HIA was supposed to have this improved but I do not see much change nor direct gate access. Onboard the worst part is the the slow safety video, lengthy, numerous commercials (esp. on tourism, banking, and HIA glamourisation). Even worse are QR charity initiatives which are imposed on all passengers. Drink rounds have been less on my flights and are no separate round offered prior to meals - which can be delayed for 1-2 hours into the flight","HAN to NBO via BKK, DOH",5,5,Reliability and precision high,Solo Leisure,,5,0,8bd9b372-415e-4b49-8ba7-c42568967a2e,hanoi nairobi via bangkok doha excellent service checkin noi bai international airport nia business lounge t2 good spacious onboard proactive fa provide good mood proper care product changed slightly recent month economy class smaller food portion though 3 option offered menu card champagne served economy class amenity kit still provided excellent language skill among crew flight time reliability precision airline high fa professional fresh often sparkling mood never experienced significant delay qatar airway annoyed eternal bustransfers doha hia supposed improved see much change direct gate access onboard worst part slow safety video lengthy numerous commercial esp tourism banking hia glamourisation even worse qr charity initiative imposed passenger drink round less flight separate round offered prior meal delayed 12 hour flight,"hanoi to nairobi via bangkok and doha. excellent service at check-in in noi bai international airport. nia business lounge in t2 is very good and spacious. onboard proactive fas provide a good mood and proper care. the product has changed slightly in recent months in economy class with smaller food portions though 3 options are offered on menu card. champagne is not served in economy class but an amenity kit is still provided. excellent language skills among the crew. all flights on time. reliability and precision of the airline high. fas are professional, fresh, and often in a sparkling mood. i never had experienced a significant delay with qatar airways, but am annoyed by eternal bus-transfers in doha. hia was supposed to have this improved but i do not see much change nor direct gate access. onboard the worst part is the the slow safety video, lengthy, numerous commercials (esp. on tourism, banking, and hia glamourisation). even worse are qr charity initiatives which are imposed on all passengers. drink rounds have been less on my flights and are no separate round offered prior to meals - which can be delayed for 1-2 hours into the flight",hanoi|nairobi|via|bangkok|doha|excel|servic|checkin|noi|bai|intern|airport|nia|busi|loung|t2|good|spaciou|onboard|proactiv|fa|provid|good|mood|proper|care|product|chang|slightli|recent|month|economi|class|smaller|food|portion|though|option|offer|menu|card|champagn|serv|economi|class|amen|kit|still|provid|excel|languag|skill|among|crew|flight|time|reliabl|precis|airlin|high|fa|profession|fresh|often|sparkl|mood|never|experienc|signific|delay|qatar|airway|annoy|etern|bustransf|doha|hia|suppos|improv|see|much|chang|direct|gate|access|onboard|worst|part|slow|safeti|video|lengthi|numer|commerci|esp|tourism|bank|hia|glamouris|even|wors|qr|chariti|initi|impos|passeng|drink|round|less|flight|separ|round|offer|prior|meal|delay|12|hour|flight,119,16,positive,0.9115,0.12351249999999998,0.9536,0.14932499999999999
WOW air,Economy Class,September 2017,11th September 2017,1,0,1,Canada,1.0,no,"Montreal to Paris via Keflavik. After cancelling my flight at the gate due to technical difficulties, I was put in a hotel near the airport and given a flight 3 days later. I was then told my flight was moved to the following day, spent another 7 hours at the airport only to be told it was still in 2 days and also that I had to change hotels. I was put in a disgusting non-functional Holiday Inn (stains everywhere, broken power outlets) for the remainder of my stay. No further compensation was offered, I am still waiting to be reimbursed due to the flight cancellation.",Montreal to Paris via Keflavik,1,1,given a flight 3 days later,Solo Leisure,,1,1,a36aed4e-a449-4db5-81bd-842291fe65da,montreal paris via keflavik cancelling flight gate due technical difficulty put hotel near airport given flight 3 day later told flight moved following day spent another 7 hour airport told still 2 day also change hotel put disgusting nonfunctional holiday inn stain everywhere broken power outlet remainder stay compensation offered still waiting reimbursed due flight cancellation,"montreal to paris via keflavik. after cancelling my flight at the gate due to technical difficulties, i was put in a hotel near the airport and given a flight 3 days later. i was then told my flight was moved to the following day, spent another 7 hours at the airport only to be told it was still in 2 days and also that i had to change hotels. i was put in a disgusting non-functional holiday inn (stains everywhere, broken power outlets) for the remainder of my stay. no further compensation was offered, i am still waiting to be reimbursed due to the flight cancellation.",montreal|pari|via|keflavik|cancel|flight|gate|due|technic|difficulti|put|hotel|near|airport|given|flight|day|later|told|flight|move|follow|day|spent|anoth|hour|airport|told|still|day|also|chang|hotel|put|disgust|nonfunct|holiday|inn|stain|everywher|broken|power|outlet|remaind|stay|compens|offer|still|wait|reimburs|due|flight|cancel,53,5,negative,-0.8402,-0.26814,-0.8402,-0.26814
Aerolineas Argentinas,Economy Class,November 2020,2nd February 2021,0,0,0,UnitedStates,1.0,no,"Absolute disgrace. By far the most sketchy, unprofessional airline I ever dealt with. Flights canceled due to Covid.  Argentinean Airlines have disconnected all phones and no one ever replies on WhatsApp. I mean using a free app to communicate with customers - all you need to know about their level. I have received one reply saying that they have reimbursed me on November 30th. It's February and it's clear that that's a lie - I have not received a penny. By the way, I have paid for flexible ticket, so it was refundable regardless of the Covid situation.",Buenos Aires to El Calafate,0,0,I have not received a penny,Solo Leisure,Trip Verified,1,0,2cb894d5-ec4e-465a-95a9-94e8b723e139,absolute disgrace far sketchy unprofessional airline ever dealt flight canceled due covid argentinean airline disconnected phone one ever reply whatsapp mean using free app communicate customer need know level received one reply saying reimbursed november 30th february clear thats lie received penny way paid flexible ticket refundable regardless covid situation,"absolute disgrace. by far the most sketchy, unprofessional airline i ever dealt with. flights canceled due to covid.  argentinean airlines have disconnected all phones and no one ever replies on whatsapp. i mean using a free app to communicate with customers - all you need to know about their level. i have received one reply saying that they have reimbursed me on november 30th. it's february and it's clear that that's a lie - i have not received a penny. by the way, i have paid for flexible ticket, so it was refundable regardless of the covid situation.",absolut|disgrac|far|sketchi|unprofession|airlin|ever|dealt|flight|cancel|due|covid|argentinean|airlin|disconnect|phone|one|ever|repli|whatsapp|mean|use|free|app|commun|custom|need|know|level|receiv|one|repli|say|reimburs|novemb|30th|februari|clear|that|lie|receiv|penni|way|paid|flexibl|ticket|refund|regardless|covid|situat,50,8,negative,-0.2911,-0.028175000000000006,0.0314,0.00192500000000001
LAN Airlines,Economy Class,,18th December 2014,5,4,0,Australia,10.0,yes,My partner and I travelled with LAN from Australia to South America return and internally within South America on a LAN pass. I was so pleasantly surprised by the level of service and friendliness of the cabin crew. I had read prior to our trip mixed reviews so was somewhat apprehensive when it came time to travel. Past reviews couldn't have been more far of the mark! The cabin crew were really friendly. My partner is a very nervous flyer and on every leg we flew with them the cabin crew kept checking in on him to make sure he was okay. On our way home flying into Auckland we were told there was bad weather and one lovely cabin crew member even offered to sit by him as we landed. The food was nice and not too heavy and on the long haul sectors cabin crew were frequently up and down the aisle with drinks. The inflight entertainment system was fantastic and I would put it on par with Emirates ICE system! Any negatives? The only thing I could say is that the seats were a little uncomfortable but then being over 6 ft I get the same problem with other airlines. On the whole a most enjoyable experience.,,3,5,LAN Airlines customer review,,,5,0,3ed23ee0-3b6d-4c3b-ac09-f814fa433346,partner travelled lan australia south america return internally within south america lan pas pleasantly surprised level service friendliness cabin crew read prior trip mixed review somewhat apprehensive came time travel past review couldnt far mark cabin crew really friendly partner nervous flyer every leg flew cabin crew kept checking make sure okay way home flying auckland told bad weather one lovely cabin crew member even offered sit landed food nice heavy long haul sector cabin crew frequently aisle drink inflight entertainment system fantastic would put par emirate ice system negative thing could say seat little uncomfortable 6 ft get problem airline whole enjoyable experience,my partner and i travelled with lan from australia to south america return and internally within south america on a lan pass. i was so pleasantly surprised by the level of service and friendliness of the cabin crew. i had read prior to our trip mixed reviews so was somewhat apprehensive when it came time to travel. past reviews couldn't have been more far of the mark! the cabin crew were really friendly. my partner is a very nervous flyer and on every leg we flew with them the cabin crew kept checking in on him to make sure he was okay. on our way home flying into auckland we were told there was bad weather and one lovely cabin crew member even offered to sit by him as we landed. the food was nice and not too heavy and on the long haul sectors cabin crew were frequently up and down the aisle with drinks. the inflight entertainment system was fantastic and i would put it on par with emirates ice system! any negatives? the only thing i could say is that the seats were a little uncomfortable but then being over 6 ft i get the same problem with other airlines. on the whole a most enjoyable experience.,partner|travel|lan|australia|south|america|return|intern|within|south|america|lan|pa|pleasantli|surpris|level|servic|friendli|cabin|crew|read|prior|trip|mix|review|somewhat|apprehens|came|time|travel|past|review|couldnt|far|mark|cabin|crew|realli|friendli|partner|nervou|flyer|everi|leg|flew|cabin|crew|kept|check|make|sure|okay|way|home|fli|auckland|told|bad|weather|one|love|cabin|crew|member|even|offer|sit|land|food|nice|heavi|long|haul|sector|cabin|crew|frequent|aisl|drink|inflight|entertain|system|fantast|would|put|par|emir|ice|system|neg|thing|could|say|seat|littl|uncomfort|ft|get|problem|airlin|whole|enjoy|experi,103,9,positive,0.9128,0.25654444444444446,0.9073,0.24135555555555557
Air Tahiti Nui,Economy Class,,24th April 2012,3,1,0,UnitedStates,1.0,no,"Scheduled to fly non-stop Paris-Los Angeles. At the check-in counter the sign said 'New York' we were told the flight to LA was simply making a quick stop in New York then would continue to LA. This was a lie. Upon arrival in New York we were told it would be 24 hours until another plane would take us to LA. They put us up in a hotel. 24 hours later it was a charter flight they put us on to LA. I complained to Air Tahiti Nui about the lack of meal and I was told ""we went to a very big expense to charter this flight you should be grateful"". I should be grateful they arranged me transportation to where I paid to go?",,3,1,Air Tahiti Nui customer review,,,1,0,bba2cff5-6dc7-4ad5-adcf-8cf2d62f4349,scheduled fly nonstop parislos angeles checkin counter sign said new york told flight la simply making quick stop new york would continue la lie upon arrival new york told would 24 hour another plane would take u la put u hotel 24 hour later charter flight put u la complained air tahiti nui lack meal told went big expense charter flight grateful grateful arranged transportation paid go,"scheduled to fly non-stop paris-los angeles. at the check-in counter the sign said 'new york' we were told the flight to la was simply making a quick stop in new york then would continue to la. this was a lie. upon arrival in new york we were told it would be 24 hours until another plane would take us to la. they put us up in a hotel. 24 hours later it was a charter flight they put us on to la. i complained to air tahiti nui about the lack of meal and i was told ""we went to a very big expense to charter this flight you should be grateful"". i should be grateful they arranged me transportation to where i paid to go?",schedul|fli|nonstop|parislo|angel|checkin|counter|sign|said|new|york|told|flight|la|simpli|make|quick|stop|new|york|would|continu|la|lie|upon|arriv|new|york|told|would|24|hour|anoth|plane|would|take|la|put|hotel|24|hour|later|charter|flight|put|la|complain|air|tahiti|nui|lack|meal|told|went|big|expens|charter|flight|grate|grate|arrang|transport|paid|go,64,8,negative,-0.0516,-0.0109,-0.0516,-0.0109
Scoot,Economy Class,April 2018,23rd April 2018,0,3,4,Singapore,9.0,yes,"Haikou to Singapore. Was on the flight returning to Singapore and was fortunate to have an attentive flight attendant who went extra mile to care for the passengers on board. Scoot, a budget airline but you do not get budget service.",Haikou to Singapore,3,5,attentive flight attendant,Family Leisure,Trip Verified,3,0,a4b249b1-b4da-4f9a-9fc5-15e91d95fd33,haikou singapore flight returning singapore fortunate attentive flight attendant went extra mile care passenger board scoot budget airline get budget service,"haikou to singapore. was on the flight returning to singapore and was fortunate to have an attentive flight attendant who went extra mile to care for the passengers on board. scoot, a budget airline but you do not get budget service.",haikou|singapor|flight|return|singapor|fortun|attent|flight|attend|went|extra|mile|care|passeng|board|scoot|budget|airlin|get|budget|servic,21,3,positive,0.4678,0.2423,0.5499,0.2654666666666667
American Airlines,Economy Class,August 2021,3rd August 2021,0,0,1,UnitedStates,1.0,no,"We were supposed to fly out of Wichita airport to Dallas on August 2nd 2021. Less than 12 hours before our flight the app showed our flight was cancelled, we left Wichita in hopes to make our connecting flight in Dallas, called customer service and we were on hold for the whole drive (total of 5 hours) stood in the line for customer service at Dallas airport for 2 hours for them to tell us that they sold our seats. They told us how we could’ve solved this was if we had called customer service and told them to hold our seats, we explained to them that we were on hold with them our whole drive from Wichita. They found a flight for us the next day which we accepted, we had to retest for COVID because it would no longer be within the 72 hours required to land in Hawaii. While sitting to get tested, the app showed our flight was cancelled again. We went to the airport again and could not find another flight to get us to Hawaii in enough time to participate in things we had scheduled, not to mention we would have been cutting our vacation almost in half. This was supposed to be my first ever flight, and I am nothing but disappointed in American Airlines, their customer service is anything but helpful, and in no way are they dependable. I will not use them again.",Wichita to Kauai,1,1,I am nothing but disappointed in American Airlines,Family Leisure,Not Verified,1,0,1188e906-899b-4b80-af0b-492939e8d0f9,supposed fly wichita airport dallas august 2nd 2021 less 12 hour flight app showed flight cancelled left wichita hope make connecting flight dallas called customer service hold whole drive total 5 hour stood line customer service dallas airport 2 hour tell u sold seat told u could ’ solved called customer service told hold seat explained hold whole drive wichita found flight u next day accepted retest covid would longer within 72 hour required land hawaii sitting get tested app showed flight cancelled went airport could find another flight get u hawaii enough time participate thing scheduled mention would cutting vacation almost half supposed first ever flight nothing disappointed american airline customer service anything helpful way dependable use,"we were supposed to fly out of wichita airport to dallas on august 2nd 2021. less than 12 hours before our flight the app showed our flight was cancelled, we left wichita in hopes to make our connecting flight in dallas, called customer service and we were on hold for the whole drive (total of 5 hours) stood in the line for customer service at dallas airport for 2 hours for them to tell us that they sold our seats. they told us how we could’ve solved this was if we had called customer service and told them to hold our seats, we explained to them that we were on hold with them our whole drive from wichita. they found a flight for us the next day which we accepted, we had to retest for covid because it would no longer be within the 72 hours required to land in hawaii. while sitting to get tested, the app showed our flight was cancelled again. we went to the airport again and could not find another flight to get us to hawaii in enough time to participate in things we had scheduled, not to mention we would have been cutting our vacation almost in half. this was supposed to be my first ever flight, and i am nothing but disappointed in american airlines, their customer service is anything but helpful, and in no way are they dependable. i will not use them again.",suppos|fli|wichita|airport|dalla|august|2nd|2021|less|12|hour|flight|app|show|flight|cancel|left|wichita|hope|make|connect|flight|dalla|call|custom|servic|hold|whole|drive|total|hour|stood|line|custom|servic|dalla|airport|hour|tell|sold|seat|told|could|solv|call|custom|servic|told|hold|seat|explain|hold|whole|drive|wichita|found|flight|next|day|accept|retest|covid|would|longer|within|72|hour|requir|land|hawaii|sit|get|test|app|show|flight|cancel|went|airport|could|find|anoth|flight|get|hawaii|enough|time|particip|thing|schedul|mention|would|cut|vacat|almost|half|suppos|first|ever|flight|noth|disappoint|american|airlin|custom|servic|anyth|help|way|depend|use,111,8,negative,0.6576,0.08903749999999999,0.4907,0.0670125
easyJet,Economy Class,August 2020,8th August 2020,0,0,0,SouthAfrica,1.0,no,"Last year August we started planning a trip through UK and Ireland. We were very excited. In January we booked our flights to the UK with British Airways and we booked a flight from Glasgow to Belfast with easyJet. In June our British Airways flights got cancelled due to the Covid-19 pandemic. The Covid-19 numbers in South Africa have steadily been rising and experts estimate, that the peak will only be reached in September. Since the cancellation of our British Airways flights, I have trying to get in contact with easyJet, to let them know, that there is no conceivable way we can get to Glasgow by the 21st August. All attempts to contact easyJet have been unsuccessful. After two hours of being on line with their customer care line listening to the stupid ring tone, I realised no one was on the other line. I tried their facebook, twitter and email accounts, but could get no response at all. Earlier this year, the easyJet website clearly stated that change fees will be waived due to the pandemic, as long as the changes occur 14 days prior to the scheduled flight. When trying to change the flights tonight (14 days prior to the scheduled flight), however I was charged 228 GBP for the change fee. Please keep in mind that the original flight cost was only 192 GBP. I find this unacceptable. You should be able to contact a customer care line and explain the situation, but I've only had generic responses from robots. Extremely frustrating. If I could give 0 starts I would.",Glasgow to Belfast ,0,0,Extremely frustrating,Couple Leisure,Trip Verified,1,0,3682a901-0f8d-4366-9137-d2278291e90a,last year august started planning trip uk ireland excited january booked flight uk british airway booked flight glasgow belfast easyjet june british airway flight got cancelled due covid19 pandemic covid19 number south africa steadily rising expert estimate peak reached september since cancellation british airway flight trying get contact easyjet let know conceivable way get glasgow 21st august attempt contact easyjet unsuccessful two hour line customer care line listening stupid ring tone realised one line tried facebook twitter email account could get response earlier year easyjet website clearly stated change fee waived due pandemic long change occur 14 day prior scheduled flight trying change flight tonight 14 day prior scheduled flight however charged 228 gbp change fee please keep mind original flight cost 192 gbp find unacceptable able contact customer care line explain situation ive generic response robot extremely frustrating could give 0 start would,"last year august we started planning a trip through uk and ireland. we were very excited. in january we booked our flights to the uk with british airways and we booked a flight from glasgow to belfast with easyjet. in june our british airways flights got cancelled due to the covid-19 pandemic. the covid-19 numbers in south africa have steadily been rising and experts estimate, that the peak will only be reached in september. since the cancellation of our british airways flights, i have trying to get in contact with easyjet, to let them know, that there is no conceivable way we can get to glasgow by the 21st august. all attempts to contact easyjet have been unsuccessful. after two hours of being on line with their customer care line listening to the stupid ring tone, i realised no one was on the other line. i tried their facebook, twitter and email accounts, but could get no response at all. earlier this year, the easyjet website clearly stated that change fees will be waived due to the pandemic, as long as the changes occur 14 days prior to the scheduled flight. when trying to change the flights tonight (14 days prior to the scheduled flight), however i was charged 228 gbp for the change fee. please keep in mind that the original flight cost was only 192 gbp. i find this unacceptable. you should be able to contact a customer care line and explain the situation, but i've only had generic responses from robots. extremely frustrating. if i could give 0 starts i would.",last|year|august|start|plan|trip|uk|ireland|excit|januari|book|flight|uk|british|airway|book|flight|glasgow|belfast|easyjet|june|british|airway|flight|got|cancel|due|covid19|pandem|covid19|number|south|africa|steadili|rise|expert|estim|peak|reach|septemb|sinc|cancel|british|airway|flight|tri|get|contact|easyjet|let|know|conceiv|way|get|glasgow|21st|august|attempt|contact|easyjet|unsuccess|two|hour|line|custom|care|line|listen|stupid|ring|tone|realis|one|line|tri|facebook|twitter|email|account|could|get|respons|earlier|year|easyjet|websit|clearli|state|chang|fee|waiv|due|pandem|long|chang|occur|14|day|prior|schedul|flight|tri|chang|flight|tonight|14|day|prior|schedul|flight|howev|charg|228|gbp|chang|fee|pleas|keep|mind|origin|flight|cost|192|gbp|find|unaccept|abl|contact|custom|care|line|explain|situat|ive|gener|respons|robot|extrem|frustrat|could|give|start|would,143,16,negative,-0.1513,-0.07314375000000001,0.6214,-0.043274999999999994
Virgin Australia,Premium Economy,,17th September 2011,0,0,0,Australia,9.0,yes,Recently flew V Australia to Dublin (with Etihad from Abu Dhabi) in Premium Economy. I was surprised at the price very inexpensive compared to other premium options. Flew SYD to AUH in 777-300 nice cabin with access to two toilets pretty amazing for only 40 pax. The staff were exceptional possibly some of the best inflight staff I have experienced for some time. Could not do enough for you and were attentive for the whole 14 hours (was the same for return leg). The seat was particularly comfortable and was able to manage 8 hours sleep. The food was ok not as good as Qantas premium and the inflight entertainment was great good choice and a plus with the noise cancelling headphones. Overall would rate this product very highly and have no hesitation in flying with them again.,,0,0,Virgin Australia customer review,,,4,0,741d019f-ef2d-4eb2-ae68-2fd30c1aff2a,recently flew v australia dublin etihad abu dhabi premium economy surprised price inexpensive compared premium option flew syd auh 777300 nice cabin access two toilet pretty amazing 40 pax staff exceptional possibly best inflight staff experienced time could enough attentive whole 14 hour return leg seat particularly comfortable able manage 8 hour sleep food ok good qantas premium inflight entertainment great good choice plus noise cancelling headphone overall would rate product highly hesitation flying,recently flew v australia to dublin (with etihad from abu dhabi) in premium economy. i was surprised at the price very inexpensive compared to other premium options. flew syd to auh in 777-300 nice cabin with access to two toilets pretty amazing for only 40 pax. the staff were exceptional possibly some of the best inflight staff i have experienced for some time. could not do enough for you and were attentive for the whole 14 hours (was the same for return leg). the seat was particularly comfortable and was able to manage 8 hours sleep. the food was ok not as good as qantas premium and the inflight entertainment was great good choice and a plus with the noise cancelling headphones. overall would rate this product very highly and have no hesitation in flying with them again.,recent|flew|australia|dublin|etihad|abu|dhabi|premium|economi|surpris|price|inexpens|compar|premium|option|flew|syd|auh|777300|nice|cabin|access|two|toilet|pretti|amaz|40|pax|staff|except|possibl|best|inflight|staff|experienc|time|could|enough|attent|whole|14|hour|return|leg|seat|particularli|comfort|abl|manag|hour|sleep|food|ok|good|qanta|premium|inflight|entertain|great|good|choic|plu|nois|cancel|headphon|overal|would|rate|product|highli|hesit|fli,72,8,positive,0.9824,0.4234875,0.9835,0.4488875
Air Europa,Economy Class,June 2016,7th July 2016,1,1,1,Netherlands,1.0,no,"✅ , |  I now see I should have read the reviews on this site before spending money on our holiday trip to Havana : what an unmitigated disaster this airline is! Amsterdam to Madrid left an hour and a half late, nearly cancelling out our transfer time for the onward leg to Havana. At MAD we were told to go to Customer Service to get our flight rebooked and vouchers for a hotel. Unfindable office, no-one speaks a word of English, hordes of angry customers arguing at length with two overworked reps. Return: Same story but 4 times worse: arriving at airport three hours before departure, we are told that the flight is delayed. It ends up being more than six hours late. The complimentary meals had run out (275 stranded passengers missing dinner) seats were ridiculously uncomfortable so no sleep. Replacement aircraft was a A330-200 instead of the regular A330-300, so broken seats, no legroom, disgusting food. Entartainment system was 'down"" but they have WiFi.(at a laughable cost, yes). Maybe indicative that the captain announced that he was proud of his passengers for not misbehaving. ",AMS to HAV via MAD,1,1,what an unmitigated disaster,Couple Leisure,,1,1,076470c3-0998-42f4-90ce-c1720d5d475b,✅ see read review site spending money holiday trip havana unmitigated disaster airline amsterdam madrid left hour half late nearly cancelling transfer time onward leg havana mad told go customer service get flight rebooked voucher hotel unfindable office noone speaks word english horde angry customer arguing length two overworked rep return story 4 time worse arriving airport three hour departure told flight delayed end six hour late complimentary meal run 275 stranded passenger missing dinner seat ridiculously uncomfortable sleep replacement aircraft a330200 instead regular a330300 broken seat legroom disgusting food entartainment system wifiat laughable cost yes maybe indicative captain announced proud passenger misbehaving,"✅ , |  i now see i should have read the reviews on this site before spending money on our holiday trip to havana : what an unmitigated disaster this airline is! amsterdam to madrid left an hour and a half late, nearly cancelling out our transfer time for the onward leg to havana. at mad we were told to go to customer service to get our flight rebooked and vouchers for a hotel. unfindable office, no-one speaks a word of english, hordes of angry customers arguing at length with two overworked reps. return: same story but 4 times worse: arriving at airport three hours before departure, we are told that the flight is delayed. it ends up being more than six hours late. the complimentary meals had run out (275 stranded passengers missing dinner) seats were ridiculously uncomfortable so no sleep. replacement aircraft was a a330-200 instead of the regular a330-300, so broken seats, no legroom, disgusting food. entartainment system was 'down"" but they have wifi.(at a laughable cost, yes). maybe indicative that the captain announced that he was proud of his passengers for not misbehaving. ",see|read|review|site|spend|money|holiday|trip|havana|unmitig|disast|airlin|amsterdam|madrid|left|hour|half|late|nearli|cancel|transfer|time|onward|leg|havana|mad|told|go|custom|servic|get|flight|rebook|voucher|hotel|unfind|offic|noon|speak|word|english|hord|angri|custom|argu|length|two|overwork|rep|return|stori|time|wors|arriv|airport|three|hour|departur|told|flight|delay|end|six|hour|late|complimentari|meal|run|275|strand|passeng|miss|dinner|seat|ridicul|uncomfort|sleep|replac|aircraft|a330200|instead|regular|a330300|broken|seat|legroom|disgust|food|entartain|system|wifiat|laughabl|cost|ye|mayb|indic|captain|announc|proud|passeng|misbehav,101,10,negative,-0.9462,-0.28188,-0.9755,-0.31142
Air India,Economy Class,August 2015,26th August 2015,4,5,3,Canada,8.0,yes,"We took Air India from Chennai to Paris via Delhi. The first flight was on an A320, early morning departure, flight was on-time, good clean flight, breakfast was served. FA's were attentive, IFE was basic with just a few channels. Delhi to Paris was on brand new B787 Dreamliner, excellent flight, on-time arrival in Paris. Lunch and snack was served with choice of Indian and continental. FA's were young and answered the call button that my kids pressed a few times. IFE was better and had good selection of latest Hollywood movies. The best thing I would say is the seat pitch at 33 inches, good leg room. AI product has improved and you can notice they are responsive.",Chennai to Paris via Delhi,4,4,Air India customer review,Family Leisure,,4,0,a0f1f425-5c38-4e20-8b0f-da559befd446,took air india chennai paris via delhi first flight a320 early morning departure flight ontime good clean flight breakfast served fa attentive ife basic channel delhi paris brand new b787 dreamliner excellent flight ontime arrival paris lunch snack served choice indian continental fa young answered call button kid pressed time ife better good selection latest hollywood movie best thing would say seat pitch 33 inch good leg room ai product improved notice responsive,"we took air india from chennai to paris via delhi. the first flight was on an a320, early morning departure, flight was on-time, good clean flight, breakfast was served. fa's were attentive, ife was basic with just a few channels. delhi to paris was on brand new b787 dreamliner, excellent flight, on-time arrival in paris. lunch and snack was served with choice of indian and continental. fa's were young and answered the call button that my kids pressed a few times. ife was better and had good selection of latest hollywood movies. the best thing i would say is the seat pitch at 33 inches, good leg room. ai product has improved and you can notice they are responsive.",took|air|india|chennai|pari|via|delhi|first|flight|a320|earli|morn|departur|flight|ontim|good|clean|flight|breakfast|serv|fa|attent|ife|basic|channel|delhi|pari|brand|new|b787|dreamlin|excel|flight|ontim|arriv|pari|lunch|snack|serv|choic|indian|continent|fa|young|answer|call|button|kid|press|time|ife|better|good|select|latest|hollywood|movi|best|thing|would|say|seat|pitch|33|inch|good|leg|room|ai|product|improv|notic|respons,73,9,positive,0.9794,0.3811333333333333,0.9833,0.42217777777777776
China Eastern Airlines,Economy Class,August 2017,1st March 2018,0,1,1,Bangladesh,2.0,no,Dhaka to Shenyang via Kunming. Disgusting service and the quality of the airline. Would never recommend this airline. This is by the far the worst airline i have ever took and i'm a very frequent traveler. This had a 6 hour delay before it departed. Never use this airline.,Dhaka to Shenyang via Kunming,1,1,never recommend this airline,Solo Leisure,Trip Verified,2,0,cd7da8a6-8e74-490a-b23b-f5a440f06d3f,dhaka shenyang via kunming disgusting service quality airline would never recommend airline far worst airline ever took im frequent traveler 6 hour delay departed never use airline,dhaka to shenyang via kunming. disgusting service and the quality of the airline. would never recommend this airline. this is by the far the worst airline i have ever took and i'm a very frequent traveler. this had a 6 hour delay before it departed. never use this airline.,dhaka|shenyang|via|kunm|disgust|servic|qualiti|airlin|would|never|recommend|airlin|far|worst|airlin|ever|took|im|frequent|travel|hour|delay|depart|never|use|airlin,26,6,negative,-0.8981,-0.2908833333333333,-0.8981,-0.2908833333333333
