AirlineName,CabinType,OverallScore,Recommended,Review,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_score,sentiment_label,recommend_sentiment_consistency,rating_sentiment_note
AirAsia,Economy Class,1.0,no,"Seoul to Denpasar via Kuala Lumpur. AirAsia has terrible customer service and tries to overcharge passengers at every turn. I purchased 2 25 kg checked bags, but at check in, they claimed I had only purchased one, which resulted in by baggage being 11 kg over the weight allowance that I purchased. They then offered to check the remainder of my luggage for 42,000 won per kg, or 1.5 times the cost of my original ticket. They wanted 640,000 won for my 11 kg of checked luggage which they falsely claimed that I had not purchased. I am never flying AirAsia again.",0.018,0.866,0.115,0.9186,positive,possible_mismatch,low_rating_but_positive_text
Rwandair,,,no,Rwandair Express Johannesburg - Kigali on an MD-80 business class. Really not a bad flight - we were about 1/2 an hour late boarding with no announcements but after that it was fine: a reasonable little meal and nice wine. We had a touch-down in Bujumbura so there was rather a lot of taking off and landing but reasonably quiet and comfortable flight. My bags were lost in a connection a Johnannesburg (as always) and so it was the usual long process of waiting for the bags not to appear waiting to fill out forms and then waiting three days but the bags eventually found me!,0.039,0.856,0.105,0.8295,positive,possible_mismatch,normal
Delta Air Lines,Economy Class,1.0,no,"Beware of Delta’s cancellation policies. They are predatory and the customer service are appalling. Even if you cancel over a month before your flight, you will not get a refund and you will be charged a cancelation fee. They will offer you “credits” instead of a refund, so it is completely possible for you to spend hundreds if not thousands of dollars through Delta and not even get to fly anywhere. Steer to United or American as they are much more customer service focused and their cancelation/changes policies are far more lenient.",0.063,0.857,0.08,0.4131,positive,possible_mismatch,low_rating_but_positive_text
Philippine Airlines,Economy Class,6.0,no,MNL-CGK-MNL. Terminal 2 check-in was fine though Jakarta was very slow. On time departures and arrivals on all flights. Food and drinks choices were okay. All in all okay flights the price was nothing special.,0.058,0.798,0.144,0.3274,positive,possible_mismatch,normal
Turkish Airlines,Economy Class,2.0,no,"25 hours prior to departure I am informed by Turkish Airlines email that my flight (Muscat to Manchester via Istanbul) is cancelled, and next flight is 24 hours later. Too late for the funeral I was attending. 3 hours later being put on hold and told that nothing can be done and please go to the airport (only 3 hours drive away) decided to give up and book Emirates instead. Hope I get a refund (paid weeks ago through credit card). Being an Elite Card member served no advantage in the discussions either. They have a good business class lounge for members but that is where it ends.  So disappointing as have been loyal over the years.",0.079,0.832,0.089,0.053,positive,possible_mismatch,low_rating_but_positive_text
American Airlines,Economy Class,4.0,no,"Flew on American Airlines on a vacation to Pennsylvania, overall staff were pleasant but seemed rushed to get service done. The CRJ-200 doing the route was cramped and quite uncomfortable, if I had not been in an emergency exit row it would have been unbearable. The airline will do in a pinch but Delta or United are overall much better.",0.101,0.765,0.135,0.3528,positive,possible_mismatch,low_rating_but_positive_text
easyJet,Economy Class,2.0,no,"✅ , |  I am standing in a hot stifling room with all the other passengers for flight EZY8882, from Amsterdam to Gatwick, which is an hour and a half delayed at the moment but likely more. We were told to board when the plane had not even arrived yet. I finally persuaded a member of staff to please open the door. The first member I asked refused and I heard someone else ask her before. The flight we took on the way here from Gatwick 3 days ago was also delayed 2 hours. Our arrival evening was the best weather of our stay so we missed out on some good tourist time as the next day was pouring with rain. Rubbish service.

",0.069,0.841,0.089,0.6987,positive,possible_mismatch,low_rating_but_positive_text
Monarch Airlines,Economy Class,3.0,no,We travelled with Monarch to Lanzarote and back this week. We got on the plane yesterday afternoon on time but to be told we would be going to Faro for a refuel due to strong headwinds they had encountered on the previous flight. This added an 1.5 hrs onto our flight no real apology from them. Told to take our seat belts off during refuelling why didn't they refuel at Lanzarote? Not enough selected baguettes to go round etc. The crew were tired I overheard one stewardess state she was so tired she couldn't think anymore. When we landed in pouring rain we trailed down the steps and onto the Tarmac and walked to the terminal building. Great welcome home. Never again!,0.091,0.808,0.101,0.528,positive,possible_mismatch,low_rating_but_positive_text
Spirit Airlines,Economy Class,1.0,no,"I would give Spirit Airlines 0/10 rating. I booked my flight from Tampa to Chicago months ago (before gas prices skyrocketed). I get to the airport on time, go through security, and get to my gate and wait. 3 announcements were made that our plane has arrived but needs to be cleaned, it’ll be ready in 15-20 mins. After over an hour the final announcement made was the flight was canceled. The weather was fine because other flights went out and the later Spirit flights were still scheduled to continue. Our only option was to receive a refund because the next flight available was in 5 days. Yea, sure, refund me the amount of money I spent months ago so that I have to pay way more to book a new flight with a new airline with ticket prices for today and not months ago. The reason my flight was canceled by the way, they had no crew for it! Spirit was no help in resolving their cancellation and I would not recommend them to anyone! Sure the prices are cheap but that’s because you pay for everything else like a carry one that is normally included with most airlines. No entertainment on the plane, good thing I downloaded some stuff from Netflix on my IPad, and $3.50 for a can of pop that used to be complimentary with other airlines. Spirit is a terrible airline, buyer beware!",0.07,0.796,0.134,0.9371,positive,possible_mismatch,low_rating_but_positive_text
Aer Lingus,Economy Class,1.0,no,"Because of the current horrible airline situation world wide, we cancelled our flight to Ireland, England and Scotland. We didn't want to get stuck because of cancelled flights. I called a month prior to our flight to cancel. I was told I would get a voucher for the value of the tickets good for five years. I understood a refund couldn't be offered because I didn't purchase a refundable ticket. The voucher was fine. The agent checked the timing of the cancellation and said it was well within the period necessary to receive a voucher. I was also told that I would be after my flight was originally schedule before someone could get back to me since they were very busy. I received the following email confirming the refund. Dear Mrs. Ruppert, Our sincere apologies for the delayed response. Your voucher request was approved however, we do not currently have the ability to redeem vouchers for travel on other airlines, and your original ticket included travel on A A Airlines. As a courtesy, until this is remedied, we will offer a refund. Kindly reply to this email to confirm if you would like to proceed with the refund, thank you. Kind regards, Customer Service Agent. Now Aer Lingus refuses to provide the voucher they promised in the confirmation email. My next vacation will not be to Ireland.",0.057,0.794,0.149,0.9715,positive,possible_mismatch,low_rating_but_positive_text
Monarch Airlines,Economy Class,5.0,no,Gatwick to Sanford first time flying with Monarch. Outward flight very impressed with check in at Gatwick baggage check in and cleared customs in half an hour quite disappointed only 20kg allowance on hold bags and 5kg for cabin luggage which is weighed at check-in. Seating on the outward flight was fine window and middle seat seats not bad for comfort and leg room coming back was in middle aisle row 14 and what a nightmare right under the drop down TV and as it was an overnight flight back struggled to sleep because of the flashing of the TV really wish I had an eye mask with me. Monarch supply blanked and pillow but earphones are charged at £2.50 I always take my own anyway so not a problem. Food - considering its airline food was not bad roast chicken stuffing roast potatoes/mash on return journey vegetables and gravy with bread roll cheese crackers and a cake of sorts water with the dinner and tea or coffee brought along. Breakfast a bit disappointing yoghurt and orange juice any other drinks or snacks can be purchased. We purchased from the airport after clearing customs snacks and drinks to take on board and so glad we did. Staff were friendly and professional. Would I recommend afraid not even though the value for money with the ticket was good hold baggage is extra cost to be seated together is extra cost and even then couldn't pick where we wanted to sit. Return flight was full and unfortunately not enjoyable because of the TV and unruly kids although this is not an airline problem.,0.064,0.811,0.125,0.9626,positive,possible_mismatch,normal
British Airways,Economy Class,1.0,no,"London Heathrow to Berlin return. Will be taking anything but BA flights from now on. Arriving at Berlin check in with only handbagge one of my party was told rudely that she had to check in her baggage despite that it contained fragile items. Another of my party did want to check in her hand baggage and was told no. Both times the ground staff were inconsitant, rude and uncooperative .I was allocated a window seat despite a request for an aisle seat. The new seat configuration is so narrow now I could not get into the allocated seat as I have a replacement knee which does not bend enough to get to the seat. Fortunately one of my party swapped with me for an aisle seat. I put a small plastic bag with fragile items in the overhead locker, the steward, without telling me or consulting me, moved it. When I queried this I was told ""Madam,  I know what I am doing I have done this before"". I am 71 years old and I refuse to be so patronised so I was ready for a stand up row by this time. Fortunately a lovely stewardess with this guy saw my face and jumped in with a jokey remark which save the situation. No food left at the back of the plane as usual. Why on earth are we paying premium prices for such appalling customer service? If I want a budget flight I will use EasyJet anytime.",0.06,0.822,0.118,0.9477,positive,possible_mismatch,low_rating_but_positive_text
South African Airways,Economy Class,5.0,no,"JNB-CPT in Dec. on time flight. One female cabin crew was very kind to family and passengers in couples. Always asked ""Would you like soft drink coffee/tea and water? Drink with ice?"" and served with cups. She asked me and a business man next to me ""drink?"" and gave us a coke can without cup and gone without smile.",0.033,0.864,0.104,0.6831,positive,possible_mismatch,normal
Southwest Airlines,Economy Class,1.0,no,Baltimore to Boston. Purchased a drink on flight. Should never have served the drink because they only gave us 5 minutes to drink it! Was told the receipt would be available online. It was not available on 2/12. Tried again today: entered confirmation code and flight dates and no receipt was found! Waited 20 minutes for a call back from SW (promised less than 15). First tier told me nothing could be done until Monday morning. Asked to speak to a manager. She said she could look it up on southwest.com. Why didn't the first tier offer that? She is still looking while I type this review.,0.02,0.952,0.028,0.2225,positive,possible_mismatch,low_rating_but_positive_text
Delta Air Lines,Economy Class,4.0,no,"Boise to Dublin via New York. Had to get home for my grannys funeral, spent $1175.78 for the ticket. Trip from Dublin to Boise all was fine. On way back, left Boise to Salt Lake City, told there was going to be just over an hour delay, I asked at the Delta desk, will I make my connector at JFK to Dublin, was told yes. Left SLC about 30 minutes into flight, flight was told they were doing construction on runways at JFK. Right before we landed at JFK, they made an announcement to the flight to please let ones who were connecting to Dublin off the flight first as we needed to make our connection. Well, there were about 18-20 of us that missed the flight to Dublin by 8 minutes. Yes, 8 minutes Delta would not hold the flight for us. 10:05pm in JFK and we were told plane left, no flight for 24 hours, I asked if they had a motel for us or any food vouchers - anything, we were told as a group, no. Slept on the floor of JFK Airport tell 8am the next morning then spent $60.00 of my money to check into the Delta Club, yes I got to take a shower and eat and rest, but I feel that of no fault of mine, Delta could have made a little effort to hold the connecting flight for 8 minutes or help all the folks that were in the same position as I was for 24 hours.",0.025,0.913,0.062,0.8396,positive,possible_mismatch,low_rating_but_positive_text
United Airlines,Economy Class,4.0,no,Flight delayed from Moline to Denver. Missed connecting flight so United changed our seats on the rebooked flight to 10 rows back (original seats Row 15 and we paid extra for these seats) and also split my husband and I up in different rows (mind you we are taking our honeymoon). We tried to change our seats on the app because there were seats together they could have picked for us but we could not do this functionality for a rebooked flight on the app. So as soon as we got to Denver we asked an attendant to help us with our seats (he was just chatting away talking to his buddies) and said he could not help us we had to use a kiosk or wait 1 hour before boarding. Went to kiosk was going to be 85.00 a piece to Change seat. Then went 1.15 hour prior to boarding and the attendant said she’d be right back and it was 35 mins. She never came back. So we grabbed food. Went back before boarding began. No attendant at the desk. So we waited. It was the same agent again. We asked her to help us. Told her the above mentioned situation. She was rude and rolling her eyes. Called for a manager to come. Manager never came until boarding group 4. My husband stayed behind to speak with manager to at least get a refund on our seats we paid for. I boarded because I did not want to miss the overhead space (luggage was lost the last time we flew). A sweet lady who heard the story said she also was rebooked and got sat in a different row than her partner. So we switched places and another lady helped us out. We did get a refund for our seats. But moral of this is very poor customer service and no one wanted to do their job or do their job with compassion and a smile. If the United attendants had been professional I would have not written this. Unfortunately this airline is not what it used to be. Maybe this post will help them in the future.,0.07,0.852,0.078,0.6357,positive,possible_mismatch,low_rating_but_positive_text
United Airlines,Economy Class,1.0,no,"Sacramento to Houston. Flying on United last week, headed to continue more fireman training in Texas. Discovered my seat like this. Flight attendants didn’t want to give me anything to wipe this mess up with. Made me wait for 20 minutes to get a wet paper towel. One I cleaned it up, it took another 20 minutes to take the dirty towel. Then when she had gloves on, she wouldn’t take the towel from me. I was in the window seat and unable to get out, so I threw the towel in the aisle where it remained for another hour. I reported this to United’s website and have had very little contact.",0.048,0.896,0.055,-0.0451,neutral,possible_mismatch,normal
Air Namibia,Business Class,1.0,no,"✅ , |  On 8 September I flew to Windhoek. I departed Johannesburg on SW722 at 06h40 and was due to return on SW729 at 1735 the same day. The tickets cost me ZAR 4,854.94 in total. My meeting was very short, so I decided to return to Johannesburg earlier. I went online and changed the time of my flight to 14h55. At this time, there was no option to change anything other than the time since the website showed that all economy seats were sold out and that there were only two Business Class seats free. It cost me ZAR 1,230.95 to change the ticket. When I arrived at the airport, I went to collect my ticket and received my boarding pass without incident. My seat was now 11A. I got to the aircraft and found that I was now directed to an Economy Class Seat. I queried this with the cabin staff and they told me that I chose to pay R 1,230.95 and to convert my seat to economy. I asked how this was possible - they were unable to answer. They even checked my printed ticket that I still had with me and agreed that I had initially booked a Business Class ticket. I then also noticed that there were in fact about 8 open Business Class seats and about 20 open Economy Class seats! In the end, they crew was so adamant not to allow me the benefit of sitting in those ""special seats"" that they delayed the flight by over 20 minutes and made everyone wait. I made it clear several times that I will not delay other passengers over this and suggested that I be refunded and that I have my later Business Class ticket returned. The staff eventually asked me if I was ""offloading myself"" and told me that - if I get off, they could not guarantee that I would have the seat I paid for, on the later flight! In the end I was forced to sit in Seat 11A and told that I could fly home and that I could contact Air Namibia for a refund later. ",0.032,0.925,0.043,0.7461,positive,possible_mismatch,low_rating_but_positive_text
Jet2.com,Economy Class,6.0,no,Malaga to LBA. Old 737 showing lots of wear and tear. Although the inbound flight was early and boarding started 45 minutes before the scheduled departure time we still left late due to the fiasco of boarding a full plane. Row numbers for boarding were announced to get the passengers at the back on to the plane first but nobody could here what the Spanish ground staff were saying so everyone just rushed to get on. The size of carry on bags is now becoming a big problem for Jet2 and they need to police this better. At check in we were asked if we wanted to check-in one of our 'wheely' cabin bags for free which we were more than happy to do. But obviously most passenger didn't and it was just chaos! My main complaint is that you can no longer receive 'My Jet 2' points on any Spanish routes. I will now seriously consider Monarch now that they are flying full time from LBA and their seats are much more comfortable.,0.091,0.812,0.097,0.6441,positive,possible_mismatch,normal
SilkAir,Economy Class,4.0,no,"Davao to Singapore. SilkAir used to be a great little airline with good seat pitch, quality service and food/beverage options. Now I struggle to differentiate it from the low cost carriers. The only value proposition I see now for Silk air is connectivity to Singapore Airlines. Seat pitch seems little different to Cebu Pacific, request a beer and you get it poured half full into a small plastic cup with no refill offer. Food is bland and quantities reduced. I have flown this route periodically for 20 years and have gone from being a devotee of Silk Air to wondering why bother for the dollars paid.",0.076,0.825,0.099,0.577,positive,possible_mismatch,low_rating_but_positive_text
Air Koryo,,,no,"Beijing to Pyongyang return on an Il-62 in economy. On the outbound sector the most beautiful cabin crew I have ever seen (all female). The meal although huge was of the horrible processed type. 70s style interior with sick bag stating ""for your refuses"" hmm. Amusing to see the crew hanging onto the galley for dear life on take off and landing! On the return due to the amount of passengers an additional service was laid on (Tu-154) leaving half an hour later. Overall one of the more interesting short haul sectors to fly.",0.063,0.8,0.138,0.8008,positive,possible_mismatch,normal
Norwegian,Economy Class,2.0,no,"Los Angles to Copenhagen. After an hour delay without advance notice, our flight from LAX to CPH took off only to turn around and return to LAX after about 45-minutes in the air. We were told it was due to technical issues. We spent an hour on the tarmac before I waited another hour and a half to get my bag back. Then followed a two-hour wait to ask about accommodation. We were offered no food or drinks, and by the time I spoke to an agent it was nearly 5am, about 12-hours after arriving at the airport. I was offered to share a hotel room / cot with three other passengers. I said I'd prefer a room by myself, the agent walked away. 15-minutes later I told him I'd take anything, I'm tired, and was told the rooms were gone. I have no credit card and no cash and was given to other options. Their support hotline has an hour or more wait, if you don't get a busy tone 10-15 times when trying to call. They were friendly if not fatigued, but offered nothing in terms of help.",0.042,0.904,0.053,0.4983,positive,possible_mismatch,low_rating_but_positive_text
Jet Airways,Business Class,6.0,no,Great airline stewards and stewardesses. Good food but the flight from Chennai to Singapore was nothing short of appalling in terms of aircraft condition. I was in Seat 2A and the edge of side of the seat was broken and patched with industrial tape! When the passenger pushed his seat to a recline position (and these are not flat beds) he knocked back my food tray and my video. It also made coming out of my seat to visit the toilet very tough. Such a good airline flying international and its business class seats are rubbish and patched with tape!,0.057,0.84,0.104,0.6439,positive,possible_mismatch,normal
Jetstar Airways,Economy Class,1.0,no,"My friend and I were travelling to Vietnam. We were trying to be cautious and followed Smart Traveller (official governement information published in regards the safety of the traveller) which clearly indicated not to travel and decided not to risk our health and request a voucher. But the problem is that we can't use our vouchers in the future as I am no longer there and my friend will be leaving very soon. So, a voucher doesn't make sense. And we don't want a voucher. We need our money back. We have explained them several times. It is a real shame how they have treated us (my friend, really) on the phone, trying to make us look like fools, trying to make us finish their endless calls with hours put on hold, telling us they would call us back and didn't do it.  We are never again using Jetstar.",0.1,0.779,0.121,0.3867,positive,possible_mismatch,low_rating_but_positive_text
Air France,Economy Class,4.0,no,BLQ-CDG and return. Very quick flight great check-in both way and helpful desk. Both flights were on time operated with A319 not really tidy and clean. The unbelievable things on these flights has been the cabin crews - awful! Impolite unavailable they just seemed to talk to each other no smile nothing. Don't know if I will fly AF again.,0.106,0.727,0.168,0.6715,positive,possible_mismatch,low_rating_but_positive_text
Air New Zealand,Economy Class,5.0,no,"Melbourne to Queenstown. Initially the staff I dealt with over the phone and in the airport were great, how ever my flight to Queenstown was cancelled, which I was not alerted about via email or text. The group I was travelling with (4 adults and a child) were put on a flight to Sydney (from Adelaide) then to Queenstown the same day, I therefore called Air New Zealand to try to arrange this flight to Sydney in which I was told it was impossible and unlikely they were on this flight as it was with Jetstar, needless to say I didn’t get to Queenstown until the following day which resulted in my lateness for wedding preparations. After this I still had no notifications of my further flights to Queenstown but had to call again late at night to find this information. Was less than happy with the communication from the cancellation to the rebooking of the flight.",0.019,0.937,0.044,0.7255,positive,possible_mismatch,normal
Air China,Economy Class,6.0,no,"MEL-PVG outbound 26/12/13 PVG-Wenzhou 26/12/13 PVG-MEL inbound 9/1/14. It's not the best airline out there but acceptable for the direct connection to Shanghai and value for money. Timing of flights meant meals were served just after takeoff and just before landing with not much in between (stewardess came around with water 1-2 times in about 5 hours many passengers went to the galley to ask for drinks themselves). Seats not much room but you tolerate that in Economy Class. Inflight entertainment is standard stuff albeit with a focus on Hong Kong movies and Cantopop. The Chinese service industry has still not mastered the art of the ""false smile"" so hostesses can seem surly and over-officious compared to other airlines. English announcements not of great quality which is not really acceptable on an international flight to an English-speaking Western country. They do provide English announcements even on domestic flights if there are any foreigners on board. On return flight they tried to put 3 of us (including a 3 year old child) in 3 separate rows although cabin staff sorted that out well. It's not a patch on Singapore Qantas etc. but for the convenience of a cheap-ish direct flight you can put up with it.",0.042,0.887,0.07,0.7397,positive,possible_mismatch,normal
American Airlines,Economy Class,1.0,no,I'm a disabled veteran and was told twice that I would receive a refund. They decided to give me a flight credit and will not refund my ticket even though I canceled within 24 hours.,0.0,0.929,0.071,0.3818,positive,possible_mismatch,low_rating_but_positive_text
Icelandair,Economy Class,1.0,no,"Seattle to Keflavik. What a joke this company is. If you can fly a different airline to Iceland please do and save yourself the headache of dealing with a company which has zero respect for it's customers. I bought and paid for their ""extra leg room"" seats ($65 each) and when I boarded the plane the seats I selected were their regular seats, which are extraordinarily cramped. I asked the flight attendant about this and she said, Oh this happens a lot since they change planes. In reality, their booking system is completely screwed up as the plane model was the same on my return flight and had the same exact issue. So they have a known problem which they won't fix, red flag one. Second, they will gladly sell you a seat which doesn't exist, red flag two. I'm directed to contact support over the web for my refund, in reality any reputable airline would refund your money with a simple phone call for this type of blatant screw up. This is an obvious and known error on their part which would warrant swift resolution. But no, I open the ticket and here were are 6 weeks later with no material response from them. They are obviously desperate to keep their $130 and hoping that giving me the run-around via email will get me to forget about it- red flag three. At this point I am done with them and will be pursuing a refund through my credit card company. Lesson learned, never deal with these desperate low budget airlines that nickel and dime for any little thing.",0.071,0.852,0.077,0.1787,positive,possible_mismatch,low_rating_but_positive_text
Aer Lingus,Economy Class,6.0,no,Belfast City to Heathrow on 24 May and return on 8th June A319 both ways. Found the seats hard and the leg room constrained compared to several flights of similar length on Bangkok Airways A319 in late May/early June. Would not like a three or four hour flight on these aircraft. Would only recommend if no alternative unlike EI long haul which I consider good.,0.099,0.825,0.076,0.0747,positive,possible_mismatch,normal
British Airways,Economy Class,1.0,no,"✅ , |  Travelled British Airways from Manchester to Dubai return via Heathrow with family. The outbound flight was a night service and dinner was served at 1am. The children didn’t eat as they were fast asleep but the food was nothing special – supermarket ready meal standard. Leg room was horrific and it truly felt like cattle class. On the return flight the seats were worn and old, screens were old and scratched the children weren’t given their choice of meals as they had run out, my three year old was given snack a box containing nuts my husband sitting next to her was asleep I was in the row behind and quickly took it away as she’s allergic. I could go on but you get the picture. The man sat next to me didn’t get any food on a 7hr plus flight – he was vegetarian and they had run out of pasta. From my experience I won’t fly or recommend British airways anymore. The days of glory are long gone.",0.087,0.822,0.091,0.2054,positive,possible_mismatch,low_rating_but_positive_text
VietJet Air,Economy Class,1.0,no,"The service from this airline is atrocious, my experience with the staff was less than enjoyable. I have taken several flights over the course of my trip through Asia. All of my experiences flying through Bangkok, Phuket and Cambodia the quality of service has been excellent. In Vietnam they have looked for every opportunity to upcharge me and I have been treated with general disdain. I would recommend avoiding this airline if alternatives are available.",0.064,0.801,0.135,0.7287,positive,possible_mismatch,low_rating_but_positive_text
