AirlineName,CabinType,OverallScore,Recommended,Review,sentence_count_period,proxy_label,vader_original_full,vader_original_sentence_avg,vader_adjusted_full,vader_adjusted_sentence_avg,vader_final_score,vader_final_label,vader_final_score_source,vader_final_threshold,dataset_label_recommended,dataset_label_rating,dataset_label_high_confidence,dataset_label_consistency
American Eagle,,7.0,no,YYZ-ORD-YYZ. Booked flights on American Eagle online then realised that they use rather small aircraft and regretted it! However our return flight from Toronto to Chicago was pretty good. Check in and bag drop was fast efficient and the AA staff on duty were courteous and friendly. Admiral's Club lounge was ok at both ends - complimentary glass of wine in ORD. Both flights on time and the advantage of these smaller Embraer 145s is that they can be filled and unloaded quickly. Efficient FA each way if not over friendly and complimentary soft drinks served. Seat belt sign on for duration of flights each way a few bumps here and there. Seats were comfortable enough for a one hour flight and leg room was ok (neither my partner or I are particularly small people). Landed early at Toronto and sat on runway for a few minutes waiting for gate to become available. But all in all a pretty good experience for the fare.,10,unknown,0.9688,0.42501,0.9656,0.4174399999999999,0.9688,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Brussels Airlines,Economy Class,8.0,no,I fly BRS-BRU by Brussels Airlines (actually operated by BMI Regional) 3 or 4 times a year. The flights are good; punctuality excellent efficient online check-in comfortable seats and crew efficient. Frankly though they should be as the standard fare (BFlex) is over £600 for two one-hour flights. They claim a cheaper BLight fare exists but even booking 6 or 8 weeks in advance it never seems to be available. To add insult to injury after paying £600+ you are charged £5 to use a credit card that is just extortion. Premium fares and low-cost money grabbing tactics do not go well together.,6,unknown,-0.2313,0.0139833333333333,-0.183,0.0146666666666666,-0.2313,negative,vader_original_full,0.05,negative,positive,unknown,conflict
Turkish Airlines,Economy Class,10.0,no,"Istanbul to Izmir return. The flights boarded and departed on time, the crew were excellent, and drinks and a sandwich were served on the hour flight and return as well. Compare that a domestic flight in the United States where nothing is served on an one hour flight.",3,unknown,0.8225,0.3739333333333333,0.836,0.3828,0.8225,positive,vader_original_full,0.05,negative,positive,unknown,conflict
United Airlines,Economy Class,7.0,no,"United Airlines from Washington to Paris CDG. The plane was clean, and whilst I usually run into grumpy United Airlines staff, this flight had very friendly and polite crew. The major problem is that on an 8 hour flight, alcohol is not free, this is the first time I fly on a non-budget airline, actually one of the world's largest airlines, and alcohol is not free. I find it really cheap especially as alcohol helps me sleep in an economy seat on long flights.",4,unknown,0.7399,0.220625,0.6208,0.205225,0.7399,positive,vader_original_full,0.05,negative,positive,unknown,conflict
China Airlines,Business Class,10.0,no,SYD-JFK via TPE/KIX. All flights arrived on time. Sydney-Taipei flights (A330) have the long haul 166 degree angled flat beds. Taipei-New York was in the first newly refurbished 747 which is the same business product as Thai Airlines/Gulf Air/Turkish. Excellent product and nice new pillows and soft duvets. Food high quality and AVOD lots of choice. Quick transfer at TPE but total journey was 29hrs. The price justified the route and choice of airline. Would fly again.,9,unknown,0.7783,0.1288666666666666,0.7876,0.1311333333333333,0.7783,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Kenya Airways,Economy Class,8.0,no,NBO-FIH. Check-in at the Jomo Kenyatta airport was slow as usual with long lines starting outside the terminal. Flight on time on a 767-300 for some reason IFE was not available but I did not mind as the flight was 3 hrs. A nice hot breakfast was served after take off by a very friendly almost all male cabin crew. Great flight overall  with good standards and professional crew for an African airline.,5,unknown,0.9635,0.30662,0.967,0.29218,0.9635,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Thai Smile Airways,Economy Class,7.0,no,Hat Yai to Bangkok. They’re not provided free 10 kgs plus luggage for Royal orchid plus program (I’m a silver member) even on the website of them still show this benefit.,2,unknown,0.2018,0.1009,0.2018,0.1009,0.2018,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Qatar Airways,Economy Class,7.0,no,"London to Kuala Lumpur via Doha. LHR to Doha was great in A380, seat was comfortable, IFE was super but what stands out was the service by the crew.  Food was alright, nothing special, but I did end up feeling rather hungry in transit. Doha-KUL was awful on A340, crammed, people wanted to sit with other family members and disrupted the seating set up for others. In the end, I was made to move because a father and his son wanted to sit together.  Made to sit on aisle seat at 4 in a row. After take off, a flight attendant came to deliver and by hand luggage from where I had sat and stowed it. Nice gesture but a little bit indifferent at my displeasure at having to move from my booked seats. Uncomfortable seat, IFE temperamental. Food was okay. I would order special diet/meal next time.",11,unknown,0.9048,0.0976454545454545,0.8801,0.1014363636363636,0.9048,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Aegean Airlines,Economy Class,7.0,no,Vienna from Athens. At the gate we were offered the option of checking in our hand luggage at our own discretion which I like. The flight was almost full and was on time. The seat space is very tight considering it is not a low cost carrier compared to other airlines from the same group (Star Alliance) but for a two hour flight its tolerable. The cabin crew was polite with passengers but you could see some friction between some of stewardesses.,5,unknown,0.5035,0.15906,0.6963,0.18466,0.5035,positive,vader_original_full,0.05,negative,positive,unknown,conflict
China Airlines,First Class,9.0,no,The First Class cabin is very good full 180 degrees flat sea the food was great and there was very nice service from the flight attendants. I looking forward to using China Airlines again.,2,unknown,0.8856,0.4428,0.8856,0.4428,0.8856,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Virgin Atlantic,Business Class,8.0,no,This review is for Upper Class. Very comfortable seats and bed but difficult to see out of the window. Food service was too fast no sooner had you put the coffee cup to your lips and it was whisked away! Same for the food and I am not a slow eater. Flight attendant very friendly but forgetful (forgot my breakfast). Other airlines have a much better business class product.,5,unknown,0.4736,-0.0720599999999999,-0.3903,-0.10216,0.4736,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Hainan Airlines,Economy Class,9.0,no,"Heavily delayed flight but outside of airlines control. This is simply the best domestic airline to fly within China. Despite not having an exit row seat, I had great legroom. From Lanzhou to Xi'an the seat beside me was empty but after the short stopover, it was filled on the next leg to Xiamen. A snack was served on the short first leg, with a full delicious meal handed out on the second leg. I was able to be served several cups of juice on each leg, which was great considering how delayed and thirsty I had become. The staff onboard were fantastic and went out of their way to obtain an English newspaper for me, being the only westerner on this scheduled service. Inflight entertainment was from Android tablets that were not really setup for English users but I was able to get it to work. Overhead monitors also played the ubiquitous Just For Laughs Gags show from Canada that is on every airline and train station in China.",9,unknown,0.99,0.3971111111111111,0.9898,0.3938,0.99,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Virgin Australia,Economy Class,7.0,no,"First leg was great MEL to DRW. Second leg to Perth not so good. They ran out of food very quickly, and for someone with food allergies that's really frustrating, as it means going hungry for 4hrs, and also didn't even have decaf coffee. Who wants to drink caffeine at 9pm? That's the main issue I had, that and a member of staff referring to people as ""you's"", which I find very unprofessional. For anyone who isn't Australian, it's how some refer to more than one person. It's slang, and I personally just found it rude and annoying. Also the WiFi didn't work, not for me anyway, so I couldn't watch anything, but fortunately I knew this would happen and loaded some stuff onto my phone beforehand, something I recommended everyone do. Considering the ticket cost me $550, I expected more.",8,unknown,-0.5434,-0.1603625,-0.1424,-0.0794125,-0.5434,negative,vader_original_full,0.05,negative,positive,unknown,conflict
Cathay Pacific Airways,Business Class,8.0,no,"I had too many expectations of this company. The product is not bad, but is nothing exceptional. For example: Cathay meal trays that contain everything (starter, main course, dessert). Presentation - it's a meal tray, difficult to present something appetizing. Emirates, Qatar and Swiss to name a few: 4-course meal, served one after the other, with a nice presentation. Seat not bad, but again, nothing exceptional. Qatar Airways is better. Cabin crew very nice and attentive staff. However, the service is slow during meals. The food arrived 40 minutes after the tablecloth. I wondered if the food was on the same plane or if someone had gone to get some. The first served had finished eating, while I was still waiting to be served. The food is good. Plane modern, clean.  I am happy with the 4 flights I made with this company. Will I fly with them again? Yes, if the price is low. For a standard price, I will choose another company.",17,unknown,0.9826,0.1769411764705882,0.9859,0.1908470588235294,0.9826,positive,vader_original_full,0.05,negative,positive,unknown,conflict
LOT Polish Airlines,Business Class,7.0,no,"✅ , |  Toronto to Paris via Warsaw with LOT Polish. Booked award flight through Aeroplan. Usually we never print out tickets, just check in with passport. Not with LOT Polish, the check in lady insisted that she can't see our tickets and need our eticket numbers. So keep this in mind! Aeroplan has tendency also to send itinerary change emails/ change of eticket number. Perhaps disconnect of communication between Aeroplan and LOT. Other than that, Do not hesitate to fly in business class.",7,unknown,0.7009,0.1247571428571428,0.7009,0.1247571428571428,0.7009,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Kenya Airways,Economy Class,7.0,no,LHR-NBO. Had read on here from many posters that the IFE is grossly unreliable and not surprisingly I struck the same with the entire side of the plane without IFE. No compensation but not=too bothered as was an overnight flight and I slept. Arrival procedure in Nairobi bordering on chaotic with visa process etc and baggage hall a shambles but not fault of airline. Having made the choice over BA/VS to see something different I was satisfied staff were surprisingly good.,5,unknown,0.7102,0.0344999999999999,0.4951,-0.01828,0.7102,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Malaysia Airlines,Economy Class,8.0,no,"Kota Kinabalu to Kuching. Ground staff at the Kota Kinabalu Airport was not inconsistent (check-in counter). Some are good and some was not interested. Flying on this Malaysia Airlines Boeing 737 with an ageing interior is no problem as our flight only takes 1h and 30m. This aircraft might be problem for those who fly more than 3 hours I think. The aircraft condition was clean and well maintained. Just a little bit dirty on table tray and the sest pocket infront you. Cabin crew service was friendly and efficient. Ecnomy class wass almost full at that time. No inflight entertainment. They have a drop screen just for safety procedures video. Onboard food was good. I get an emergency seat so I get a roomy legroom. Just the main problem is the seat can't recline. But it's comfortable for me. Overall, the flight experience is good and cabin crew is highlight for me. I hope for future they can improve on their domestic and regional product.",17,unknown,0.9689,0.1347117647058823,0.969,0.1553823529411764,0.9689,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Belavia,,8.0,no,FRA-MSQ-LGW. Outbound from FRA a Tupolev 154 in quite good condition compared to Iranian 154s but still a very old type. Food service OK hot meal but nothing remarkable. Return to UK by ex-Continental 737-500 very nice flight in an empty row good meal and multiple drinks services.,4,unknown,0.836,0.1161,0.7783,0.10005,0.836,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Etihad Airways,Business Class,7.0,no,Phuket to Abu Dhabi. Business Class. Check-in was chaotic but this is the airport's fault not Etihad. Was asked to come to front of queue as I'm Gold Elite. Flight was fine - seats are leather. Staff is just ok. Nothing special or memorable.,7,unknown,-0.7459,-0.0709142857142857,-0.7459,-0.0709142857142857,-0.7459,negative,vader_original_full,0.05,negative,positive,unknown,conflict
Aeroflot Russian Airlines,Economy Class,7.0,no,"I was traveling alone with my six-month old baby. The first leg from London to Moscow went smoothly. The aircraft was very comfortable and there was an option of a bassinet. I am especially thankful to a flight attendant who was extra helpful and attentive to me as she saw that I was alone with a small child. The second leg from Moscow to Bishkek was much more difficult. It was a red eye 4-hour flight. I had zero help from the crew even when locating the seat and trying to manage my cranky and tired baby, and at the same time putting the carry on bag on top. The bassinet option was only available in business class. The temperature on the plane was extremely high. It was unbearably hot for the whole duration of the flight. The crew did not offer any help whatsoever. Traveling alone with a small child is a mission in itself. But there was no sympathetic attention from that crew at all.",13,unknown,-0.3789,-0.0284846153846153,-0.418,-0.0345923076923076,-0.3789,negative,vader_original_full,0.05,negative,positive,unknown,conflict
Emirates,Economy Class,9.0,no,"Khartoum to Rome via Dubai. Very pleasant flying experience with Emirates. Seats were very comfortable and food was very good. The cabin crew very kind and attentive. On my way back to KRT, I had a long stopover in Dubai and Emirates provided accommodation very close to the airport. The transfer service to and from the hotel was efficient and fast and I was able to rest before continuing my journey to Khartoum. In addition, the fare was very cheap. I will fly with Emirates again.",8,unknown,0.9507,0.2907625,0.9464,0.2875749999999999,0.9507,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Uzbekistan Airways,Economy Class,7.0,no,"Tashkent to Urgench. Check in for this flight was simple and straight forward at the domestic terminal in Tashkent. Collecting a boarding pass and passing security took less than 10 minutes. We were bussed to the plane and boarding was simple and straight forward. The 4 crew were pleasant and spoke in 3 languages. Drop down screens gave the pre flight safety presentation, which 20% of the passengers ignored. Take off was swift and the captain gave a simple on board welcome in 3 languages. The cabin crew did not enforce seat belt rule on passengers not using them, but quickly stopped a person having lighting up a cigarette. Cold refreshment's (coke, sprite, juice and water) where served straight after take off, but people in economy walked into the business class section for hot tea. The 1 hour flight was in good weather and a low cruising altitude gave good views from the windows. The cabin was 3 - 3 seats and the interior was clean and bright. The cabin was a bit like Wizz Air. There was no IFE other than drop down screens that played a video of Uzbekistan. The landing was good and the empty airport was simple to navigate. Bags arrived within 10 minutes and we were out of the door into the clutch's of taxi drivers.",15,unknown,0.968,0.2122066666666666,0.9578,0.20678,0.968,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Korean Air,Business Class,9.0,no,NRT-ICN-DPS-SIN-ICN-NRT in Business class. Besides the fact the AVOD does not have an extensive list of choices for such long flights I cannot fault Korean Air. The flight attendants were well dressed smiling and spoke English well. The vegetarian special meals were inventive. I was lucky enough to fly the A380 between NRT and ICN and it is a joy. There is a full bar in the back and a mini one up front. The seats on the A380 are completely lie flat and very comfortable for sleeping if not a bit hard. The A380 is also extremely quiet. The lounge in Icheon was a bit overcrowded but it is the summer travel season.,9,unknown,0.884,0.3120888888888888,0.8799,0.3232888888888888,0.884,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Qatar Airways,Business Class,7.0,no,"My flights between JFK and Doha have been excellent service except for the rock hard bed. Surely a padded mattress could be available. Between Doha and Sydney on much older planes. My return flight from Sydney to JFK no lounges open in Sydney Airport and a $70 voucher to use but only two fast food places were open, the lounge in Doha full but a great shower available. Boarding had passengers herded into a small area with not sufficient seats and no boarding until the last passenger went through security.",5,unknown,0.8573,0.34506,0.8625,0.35442,0.8573,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Ryanair,Economy Class,9.0,no,"Athens to Frankfurt. Great job by Ryanair. We chose FR because of departure time and price. The price doubled because of luggage and emergency exit seats, but was still low: 680 euros return voor 4, booked two months in advance and much better than competitors. It turned out to be a very relaxed journey: two very punctual flights, with a friendly crew and very comfortable seating at the emergency exit both ways. Good info from the cockpit and I like the efficient boarding.The down side is the risk of strike. A month before we went, there was a big strike across Europe and it won't be the last. This constant unrest makes you worrying about your flight and that's the only reason why I do not recommend Ryanair.",9,unknown,0.9465,0.1447111111111111,0.8448,0.1337444444444444,0.9465,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Thai Smile Airways,Economy Class,7.0,no,"Cabin crews service mind is in a critical status. Fix it urgently! Compared to Thai Vietjet Air cabin crews service mind, Thai Smiles is much worse.",2,unknown,-0.3802,-0.1591,-0.3802,-0.1591,-0.3802,negative,vader_original_full,0.05,negative,positive,unknown,conflict
Icelandair,Economy Class,8.0,no,Flew Anchorage - Oslo via Reykjavik last August. Small plane but good price and direct flight from Anchorage made it well worth it. Hoped to repeat this trip this year but am surprised to find that the prices are higher but surprisingly - all return trips have 2 stops - have to go to Seattle to get back to Anchorage. That defeats the purpose of the direct flights. Would I recommend Icelandair - would have said yes but now with no direct return flights and higher prices would say no.,5,unknown,0.9481,0.1351,0.9481,0.1351,0.9481,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Qatar Airways,Economy Class,7.0,no,A real mixed bag - some staff friendly and courteous with good English language skills and some staff having none of the three and being flat out rude. Most planes do not have enough toilets on board with long queues being common. Food standard quite decent for a plane but drinks service is not nearly frequent enough. I waited two hours during a flight for someone to come past with the little drinks tray that they usually provide and in the end had to push the call button to get a drink! It took them 10 minutes from the button being pushed to arrive. The amenities kit is excellent with the ear plugs being a rare and thoughtful addition. Not sure I would fly again not with so many other options available for similar money.,6,unknown,0.8885,0.20875,0.8806,0.1872166666666666,0.8885,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Air Cairo,,7.0,no,Brussels to Luxor. Good charter airline. Modern A320 aircraft with friendly fa's. No entertainment onboard but hot meal served.,4,unknown,0.3365,0.1912,0.3147,0.182425,0.3365,positive,vader_original_full,0.05,negative,positive,unknown,conflict
SpiceJet,Economy Class,8.0,no,"Kanpur to Delhi. Worst flight experience ever. The ground staff was very non cooperative, the handbag was asked to be put in checkin to earn money. The low carrier airline tag is just a ruse to fetch money from people by charging them with things like your baggage is 57cm and not 55cm - airbag with wheels is not allowed. With 2 tickets our checkin baggage was within the limit but because they added our hand baggage to Our checkin we were asked to pay extra- and they charge a hefty amount of 400Rs per kg. The rest of the Journey was made worse by the under construction Kanpur airport, they have limited staff and faulty equipment which makes the passenger experience a terrible ordeal.",6,unknown,-0.9052,-0.1343,-0.8957,-0.1324166666666666,-0.9052,negative,vader_original_full,0.05,negative,positive,unknown,conflict
Qatar Airways,Economy Class,7.0,no,We traveled from Philadelphia to Singapore this summer. Flights were enjoyable both ways. Crew was excellent but at times they get too comfortable and not attend to basics - my little one did not get a toy or anything though the attendant paid much attention to one family with a baby on our flight back from Doha to Philadelphia). The first issue we had was with the transit first leg it was about 19 hours Qatar Airways did not provide transit accommodation. We paid USD 125 each to get the transit accommodation (beware of the limitation of the allowance for Meals even with this paid service ours covered only 2 meals which was not that great in Swiss-belhotel) on the return journey it was an hour and a half with long walk between terminals to security check and back to gate there was no consideration for short transit passengers. Second issue was with food preference we had 2 vegetarian meals ordered which were not offered on way to Singapore though I had talked to Attendants they confirmed our meal preference; but asked me to talk to a Supervisor in one of transit gates who promised it will be corrected in other legs which did not help much. I will consider flying with them again due to convenience flying out from Philadelphia.,7,unknown,0.2896,0.0948714285714285,-0.1601,0.0919571428571428,0.2896,positive,vader_original_full,0.05,negative,positive,unknown,conflict
AirAsia X,Economy Class,10.0,no,Gold Coast to Kuala Lumpur was an eight hour flight. Boarding was orderly. Announcements were few. It was a bit cramped in my row. I had a meal which was nice. I will fly them again as they do great job.,6,unknown,0.7845,0.1744,0.7096,0.1327333333333333,0.7845,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Swiss Intl Air Lines,Economy Class,9.0,no,"LCY-BSL. Comment written bearing in mind that LX is selling themselves as a premium airline. Flight operated by Swiss European former Crossair aircraft. Instead of having a hand luggage baggage and a laptop bag decided to have everything in once piece of hand luggage. Resulted in a bit heavier rucksack but compared to other trolleys of other passengers still considerably lighter. (As I assisted fellow passengers placing their luggage). Maitre de Cabin decided that my rucksack had to go into the overhead bin which I agreed to and offered to assist. She declined assistance but when placing it in the bin she screamed down the whole aisle if I was carrying stones in it. Upon take off asked her very politely if that was professional and only got a sarcastic smile and a I dont care body movement. My fellow passengers around me where not amused as well. On top of that she talked about me and my rucksack with her colleague in Swiss German while serving food not considering that I might even speak Swiss German which I do. Snack was a weird cheese in ""curry"" sandwich that was left aside by many passengers. Usually they serve decent sandwiches though. Full bar service. In all slightly delayed but efficient flight. Let down by unprofessional FAs.",16,unknown,-0.8409,-0.0135875,-0.2304,0.036625,-0.8409,negative,vader_original_full,0.05,negative,positive,unknown,conflict
Swiss Intl Air Lines,Economy Class,7.0,no,"Zurich to Singapore. The lady at the bag drop off counter in Zurich was rude. I went over to drop off my bag and she just stares at me until I asked ""Do you need my boarding pass"" and she simply nodded and rolled her eyes. After she was done, she just handed over the boarding pass without saying a single word. So rude. I have never met airline or airport staff this rude before. So unexpected of Swiss.",7,unknown,-0.9269,-0.2785571428571428,-0.8429,-0.1962428571428571,-0.9269,negative,vader_original_full,0.05,negative,positive,unknown,conflict
China Southern Airlines,Economy Class,7.0,no,New York to Manila via Guangzhou with out any problem. The flight attendant are all nice. But when I landed at Manila airport I found out that our baggage was not with our flight. It was left behind at JFK airport. The ground staff handling our concerned do apologize and promised that our baggage will arrive on Sunday morning at 10:30 am and they will deliver our baggage to our home address (we depart JFK last Friday at 1:00AM). But until now Monday at 3:13 PM our baggage has not been delivered. My friend bought this ticket for me and it is cheap but?,7,unknown,0.8481,0.1047428571428571,0.7717,0.0741571428571428,0.8481,positive,vader_original_full,0.05,negative,positive,unknown,conflict
GoAir,Economy Class,7.0,no,BOM to Goa. Check in was quick and easy although the queues were long. Old busses at Bombay airport are not very comfortable. Nice flight but one of the AC's was not working and that delayed us a bit. Cabin crew tend not to smile a lot. Flight was okay but aircraft seemed old. Not very nice sandwiches on board. Did not know about their business class facility.,8,unknown,-0.7761,-0.0812875,-0.7646,-0.0751375,-0.7761,negative,vader_original_full,0.05,negative,positive,unknown,conflict
American Airlines,Economy Class,10.0,no,"Baltimore to Phoenix via Fresno with American Airlines. Started off poorly. Upon arrival at BWI, received text that flight had been canceled but rescheduled at Reagan Airport, in another state. No comp offered even though the wait was 5+ hours. In Phoenix, boarding agent gave us a red tag. Discovered we had to attach to bag and give to crew at airplane door so they could handle due to lack of space. When we took off, we counted no less than 4 completely empty bins overhead. Upon arrival, bags arrived on ramp and just passed around among the waiting passengers. Coming back from Fresno, through Phoenix, the flight was delayed while they tried to find their pilots, per flight attendant's announcement! Top prices for tickets no longer mean good service with American. Very uncaring, unprofessional airline. Their rep as an airline always on time, and the top of the heap airline is gone, gone, gone. Would recommend choosing another airline unless you have no choice.",12,unknown,-0.9153,-0.0978333333333333,-0.9224,-0.1206083333333333,-0.9153,negative,vader_original_full,0.05,negative,positive,unknown,conflict
Oman Air,Business Class,10.0,no,"Boeing 787 aircraft was immaculate. Cabin interior was clean, well maintained and serviced. Cabin crew were polite, professional and friendly. In-flight dining was delicious and well presented. My family and I had a wonderful flight. Oman Air is truly a pleasure to fly. Highly recommend this business class product.",7,unknown,0.9774,0.5053,0.9798,0.5217714285714286,0.9774,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Ethiopian Airlines,Economy Class,9.0,no,Vienna to Windhoek via Addis Ababa. Was pleasantly surprised. Aircraft was very clean and new. The food (booked vegetarian) was delicious. Service was very friendly and accommodating! Was a perfect flight for our trip to Namibia.,5,unknown,0.9594,0.49176,0.9402,0.4304,0.9594,positive,vader_original_full,0.05,negative,positive,unknown,conflict
